scenario,layer,all 2022,all year,corridor→corridor 2022,corridor→corridor year,corridor→outside 2022,corridor→outside year,outside→corridor 2022,outside→corridor year,outside→outside 2022,outside→outside year
DRYRUN_BU2025,car,1353797.7,1417805.1,72331.0,77061.1,47011.0,49693.5,89180.7,88068.4,1145275.1,1202982.1
DRYRUN_BU2025,transit,133703.6,140051.0,9366.3,9771.1,10103.9,10581.6,18799.4,19264.8,95434.0,100433.5
DRYRUN_BU2025,taxi,19359.3,20286.6,3812.3,4003.1,1359.1,1440.6,5479.1,5570.3,8708.8,9272.6
DRYRUN_BU2025,total,1487501.4,1557856.1,81697.3,86832.2,57114.9,60275.1,107980.1,107333.2,1240709.1,1303415.7
DRYRUN_stress,car,1353797.7,1422518.4,72331.0,78730.0,47011.0,51594.4,89180.7,88374.6,1145275.1,1203819.4
DRYRUN_stress,transit,133703.6,141278.2,9366.3,10394.9,10103.9,11129.3,18799.4,18985.9,95434.0,100768.2
DRYRUN_stress,taxi,19359.3,20462.1,3812.3,4125.5,1359.1,1469.3,5479.1,5557.0,8708.8,9310.3
DRYRUN_stress,total,1487501.4,1563796.6,81697.3,89124.9,57114.9,62723.7,107980.1,107360.5,1240709.1,1304587.6
