iterations,max rel margin error rows,cols,unreachable targets,scenario,layer,total 2022,total year,growth factor,mean centroid km 2022,mean centroid km year,SZ blocks > 100,SZ blocks |TAZ-reagg / SZ-Furness − 1| > 10 %,origins on superzone rate,trips added on superzone rate
151,0.00000,0.00000,0,DRYRUN_BU2025,car,1353797.74742,1417805.12899,1.04728,7.31528,7.61358,563,96,125,166.52231
71,0.00000,0.00000,0,DRYRUN_BU2025,transit,133703.62772,140050.99339,1.04747,9.55283,9.49039,184,2,125,25.27028
500,0.02392,0.00000,0,DRYRUN_BU2025,taxi,19359.30542,20286.57993,1.04790,7.13417,7.08557,53,13,125,3.16989
150,0.00000,0.00000,0,DRYRUN_stress,car,1353797.74742,1422518.35389,1.05076,7.31528,7.59559,562,108,127,2693.38622
76,0.00000,0.00000,0,DRYRUN_stress,transit,133703.62772,141278.24331,1.05665,9.55283,9.38240,182,3,127,499.58487
500,0.03099,0.00000,0,DRYRUN_stress,taxi,19359.30542,20462.10710,1.05696,7.13417,7.06119,54,13,127,178.69705
