scenario,area,name,on the line,total origins 2022,total origins year,total destinations 2022,total destinations year,transit origins 2022,transit origins year,origin growth
DRYRUN_BU2025,1,TiratCarmel,True,16963.5,20071.4,14093.0,16236.6,931.4,1098.7,1.2
DRYRUN_BU2025,2,Matam,True,1063.8,1023.6,5230.1,5612.7,363.2,373.0,1.0
DRYRUN_BU2025,3,Neot Peres,True,623.2,634.3,2520.9,2623.5,13.2,14.3,1.0
DRYRUN_BU2025,4,Neve David,True,2844.1,2832.5,1256.2,1228.0,1123.7,1122.3,1.0
DRYRUN_BU2025,5,Ein Hayam,True,4047.9,4220.8,1481.7,1499.0,997.2,1027.7,1.0
DRYRUN_BU2025,6,Bat Galim,True,3054.8,2764.2,7136.0,7144.3,472.4,472.0,0.9
DRYRUN_BU2025,7,Kiryat Eliezer,True,4145.2,4194.8,2773.6,2826.9,931.1,954.0,1.0
DRYRUN_BU2025,8,Hamoshava,True,3415.5,3556.2,3293.0,3393.3,295.6,311.3,1.0
DRYRUN_BU2025,9,Lower City,True,2282.1,2299.8,5339.5,5466.6,301.6,311.3,1.0
DRYRUN_BU2025,10,Hadar Carmel,True,3328.8,3501.5,4900.1,5108.7,459.3,487.8,1.1
DRYRUN_BU2025,11,Namal,True,1345.4,1345.0,2535.7,2561.5,506.3,506.4,1.0
DRYRUN_BU2025,12,Neve Yosef,True,676.8,710.8,1167.0,1202.5,376.6,393.2,1.1
DRYRUN_BU2025,13,Hamifrats,True,1373.0,1354.8,6668.7,6922.5,606.1,600.7,1.0
DRYRUN_BU2025,14,Hutzot,True,1612.7,1620.8,4735.8,4864.1,74.9,75.4,1.0
DRYRUN_BU2025,15,Kiryat Nahum,False,828.0,752.0,5951.7,6359.9,105.6,107.4,0.9
DRYRUN_BU2025,16,Kiryat Ata Center,True,7582.2,7299.2,7600.2,7499.2,780.9,786.9,1.0
DRYRUN_BU2025,17,Kiryat Bialik South,True,3154.5,3327.8,3665.3,3781.7,81.8,86.8,1.1
DRYRUN_BU2025,18,Kiryat Ata East,False,4957.0,4956.8,1361.8,1336.9,891.4,894.1,1.0
DRYRUN_BU2025,19,Shefaram,True,3271.2,3289.0,2293.5,2415.8,114.4,115.4,1.0
DRYRUN_BU2025,20,Adi,False,2748.6,2886.9,1377.6,1415.8,25.4,26.2,1.1
DRYRUN_BU2025,21,Alon Hagalil,False,5640.1,5948.7,5192.6,5481.7,6.5,6.9,1.1
DRYRUN_BU2025,22,Tzipori,False,2008.3,2103.5,1895.2,2039.3,0.2,0.2,1.0
DRYRUN_BU2025,23,Nazareth Area,True,19405.1,20617.4,18285.8,19666.1,2130.0,2254.1,1.1
DRYRUN_BU2025,24,Kiryat Yam,False,23082.2,23963.7,15065.4,15402.9,4487.0,4588.6,1.0
DRYRUN_BU2025,25,Kiryat Motzkin-Bialik,False,55738.0,57946.8,48505.5,50370.4,5323.1,5603.6,1.0
