scenario,layer,link,1→23 2022,1→23 year,23→1 2022,23→1 year
DRYRUN_BU2025,transit,TiratCarmel – Matam,662.3,765.8,217.3,241.7
DRYRUN_BU2025,transit,Matam – Neot Peres,788.7,877.2,1007.3,1044.3
DRYRUN_BU2025,transit,Neot Peres – Neve David,655.3,728.7,1650.2,1692.4
DRYRUN_BU2025,transit,Neve David – Ein Hayam,1217.1,1283.3,1467.0,1505.3
DRYRUN_BU2025,transit,Ein Hayam – Bat Galim,1660.6,1737.4,1222.4,1248.9
DRYRUN_BU2025,transit,Bat Galim – Kiryat Eliezer,1517.7,1582.7,1355.3,1382.4
DRYRUN_BU2025,transit,Kiryat Eliezer – Hamoshava,1512.0,1580.5,1078.7,1094.3
DRYRUN_BU2025,transit,Hamoshava – Lower City,1427.7,1495.8,1145.6,1156.4
DRYRUN_BU2025,transit,Lower City – Hadar Carmel,1148.8,1212.0,1334.4,1338.7
DRYRUN_BU2025,transit,Hadar Carmel – Namal,728.6,756.8,1538.2,1537.6
DRYRUN_BU2025,transit,Namal – Neve Yosef,708.6,735.6,1169.5,1169.6
DRYRUN_BU2025,transit,Neve Yosef – Hamifrats,464.0,480.9,1006.5,995.1
DRYRUN_BU2025,transit,Hamifrats – Hutzot,236.8,245.4,566.1,560.2
DRYRUN_BU2025,transit,Hutzot – Kiryat Ata Center,76.8,77.7,576.8,571.6
DRYRUN_BU2025,transit,Kiryat Ata Center – Kiryat Bialik South,21.9,23.4,466.3,459.7
DRYRUN_BU2025,transit,Kiryat Bialik South – Shefaram,4.2,4.6,501.8,495.8
DRYRUN_BU2025,transit,Shefaram – Nazareth Area,1.9,2.3,429.9,423.3
DRYRUN_BU2025,total,TiratCarmel – Matam,3515.8,4219.5,1195.9,1179.6
DRYRUN_BU2025,total,Matam – Neot Peres,2831.4,3297.6,3199.7,3248.6
DRYRUN_BU2025,total,Neot Peres – Neve David,2707.4,3105.9,3946.2,4000.1
DRYRUN_BU2025,total,Neve David – Ein Hayam,4139.7,4536.1,3842.0,3878.3
DRYRUN_BU2025,total,Ein Hayam – Bat Galim,5910.4,6426.2,3261.1,3271.1
DRYRUN_BU2025,total,Bat Galim – Kiryat Eliezer,5838.1,6224.3,6186.1,6307.2
DRYRUN_BU2025,total,Kiryat Eliezer – Hamoshava,6070.5,6453.8,4573.5,4694.1
DRYRUN_BU2025,total,Hamoshava – Lower City,4877.6,5231.4,3309.1,3368.4
DRYRUN_BU2025,total,Lower City – Hadar Carmel,3946.8,4236.8,4018.1,4073.1
DRYRUN_BU2025,total,Hadar Carmel – Namal,2553.8,2757.1,3707.7,3708.5
DRYRUN_BU2025,total,Namal – Neve Yosef,2377.7,2560.4,3683.1,3673.9
DRYRUN_BU2025,total,Neve Yosef – Hamifrats,1895.7,2036.4,3418.2,3380.2
DRYRUN_BU2025,total,Hamifrats – Hutzot,719.0,753.0,3657.2,3662.2
DRYRUN_BU2025,total,Hutzot – Kiryat Ata Center,381.6,405.4,3685.9,3689.8
DRYRUN_BU2025,total,Kiryat Ata Center – Kiryat Bialik South,287.5,312.4,3184.2,3189.0
DRYRUN_BU2025,total,Kiryat Bialik South – Shefaram,207.5,234.4,1556.4,1482.6
DRYRUN_BU2025,total,Shefaram – Nazareth Area,238.6,274.0,919.1,894.2
DRYRUN_stress,transit,TiratCarmel – Matam,662.3,759.8,217.3,275.2
