AggAreaCode,AggAreaName,IsLRT_Corridor,car_other,bus,train,total,transit_share
1,TiratCarmel,1,17461.0,2086.0,0.0,19547.0,0.107
2,Matam,1,1028.0,705.0,41.0,1774.0,0.421
3,Neot Peres,1,829.0,302.0,0.0,1131.0,0.267
4,Neve David,1,2967.0,2160.0,0.0,5127.0,0.421
5,Ein Hayam,1,4715.0,703.0,0.0,5418.0,0.13
6,Bat Galim,1,4899.0,679.0,45.0,5623.0,0.129
7,Kiryat Eliezer,1,4605.0,1241.0,0.0,5846.0,0.212
8,Hamoshava,1,3044.0,589.0,0.0,3633.0,0.162
9,Lower City,1,2981.0,1026.0,32.0,4039.0,0.262
10,Hadar Carmel,1,4689.0,792.0,0.0,5481.0,0.144
11,Namal,1,1172.0,336.0,0.0,1508.0,0.223
12,Neve Yosef,1,315.0,1601.0,0.0,1916.0,0.836
13,Hamifrats,1,1154.0,2208.0,69.0,3431.0,0.664
14,Hutzot,1,1212.0,260.0,31.0,1503.0,0.194
15,Kiryat Nahum,-1,975.0,233.0,0.0,1208.0,0.193
16,Kiryat Ata Center,1,9321.0,2642.0,0.0,11963.0,0.221
17,Kiryat Bialik South,1,4185.0,100.0,0.0,4285.0,0.023
18,Kiryat Ata East,-1,4674.0,318.0,0.0,4992.0,0.064
19,Shefaram,1,7661.0,96.0,0.0,7757.0,0.012
21,Alon Hagalil,1,8140.0,26.0,0.0,8166.0,0.003
23,Nazareth Area,1,25213.0,2492.0,0.0,27705.0,0.09
24,Kiryat Yam,0,32588.0,6707.0,0.0,39295.0,0.171
25,Kiryat Motzkin-Bialik,0,64533.0,9580.0,743.0,74856.0,0.138
26,Haifa Airport,0,1251.0,60.0,0.0,1311.0,0.046
27,Nesher Lower,0,3915.0,894.0,0.0,4809.0,0.186
28,Kiryat Ata South,0,30621.0,3435.0,0.0,34056.0,0.101
