from_code,to_code,from_area,to_area,flow_dir_1_to_23,flow_dir_23_to_1,total_both_dir
1,2,TiratCarmel,Matam,5085.0,1075.0,6160.0
2,3,Matam,Neot Peres,4136.0,2358.0,6494.0
3,4,Neot Peres,Neve David,3924.0,3194.0,7118.0
4,5,Neve David,Ein Hayam,6152.0,4746.0,10898.0
5,6,Ein Hayam,Bat Galim,6761.0,3913.0,10674.0
6,7,Bat Galim,Kiryat Eliezer,7671.0,7576.0,15247.0
7,8,Kiryat Eliezer,Hamoshava,7103.0,6025.0,13128.0
8,9,Hamoshava,Lower City,5911.0,4629.0,10540.0
9,10,Lower City,Hadar Carmel,5635.0,6060.0,11695.0
10,11,Hadar Carmel,Namal,3856.0,4870.0,8726.0
11,12,Namal,Neve Yosef,3524.0,5311.0,8835.0
12,13,Neve Yosef,Hamifrats,3227.0,4629.0,7856.0
13,14,Hamifrats,Hutzot,2266.0,4345.0,6611.0
14,16,Hutzot,Kiryat Ata Center,1910.0,4247.0,6157.0
16,17,Kiryat Ata Center,Kiryat Bialik South,1900.0,3796.0,5696.0
17,19,Kiryat Bialik South,Shefaram,1776.0,2240.0,4016.0
19,23,Shefaram,Nazareth Area,1948.0,1517.0,3465.0
