HHID,TAZ,SuperZone,wf,wf_new
2250000572,1803,18,96.875,17.863711039385585
2250000584,1803,18,96.875,79.54630746289995
2250001018,1804,18,70.0,12.907971847814093
2250001030,1804,18,70.0,10.860660705217468
2250001187,1807,18,583.3333333,156.92838598985676
2250001314,1807,18,583.3333333,350.0
2250001452,1807,18,583.3333333,156.92838598985676
2250001883,1803,18,96.875,137.6558797843678
2250002625,1804,18,70.0,32.34049971555512
2250002762,1804,18,70.0,24.490319736842338
2250002921,1804,18,70.0,102.07410972901839
2250003047,1804,18,70.0,122.4010194178974
2250003069,1804,18,70.0,21.120647555795337
2250003344,1804,18,70.0,112.15257165667504
2250003661,1804,18,70.0,102.07410972901839
2250003935,1807,18,583.3333333,133.0923621894383
2250004519,1804,18,70.0,10.860660705217468
2250004654,1804,18,70.0,30.386944855935283
2250004667,1804,18,70.0,30.386944855935283
2250004676,1804,18,70.0,29.70201138227696
2250004802,1804,18,70.0,21.120647555795337
2250004949,1803,18,96.875,39.30025391723101
2250004970,1803,18,96.875,42.0533611845533
2250005097,1804,18,70.0,28.397602830515304
2250005109,1804,18,70.0,24.490319736842338
2250005118,1804,18,70.0,10.860660705217468
2250005119,1804,18,70.0,30.386944855935283
2250005372,1804,18,70.0,28.397602830515304
2250005384,1804,18,70.0,34.78127249438259
2250005393,1804,18,70.0,21.120647555795337
2250005816,1804,18,70.0,350.0
2250005817,1804,18,70.0,21.120647555795337
2250005965,1804,18,70.0,10.860660705217468
2250006134,1804,18,70.0,10.860660705217468
2250006683,1817,18,219.1666667,319.58917693827135
2250006695,1817,18,219.1666667,319.58917693827135
2250006831,1817,18,219.1666667,319.58917693827135
2250006852,1817,18,219.1666667,350.0
2250006991,1803,18,96.875,73.0136228375591
2250007148,1803,18,96.875,155.21114827486286
2250007275,1805,18,179.4871795,72.8143662372914
2250007276,1805,18,179.4871795,62.79569163741467
2250007287,1805,18,179.4871795,27.84784796408517
2250007423,1805,18,179.4871795,151.67977278863015
2250007424,1805,18,179.4871795,33.097363714707946
2250007436,1805,18,179.4871795,62.79569163741467
2250007444,1805,18,179.4871795,62.79569163741467
2250007571,1805,18,179.4871795,62.79569163741467
2250007583,1805,18,179.4871795,131.4550476036772
