ID,TAZ_1270,TAZ_250,TAZ_33,TAZ_15,CITY,NEIGHBOURH,DISTRIC,SUBDISTRIC,AREA,ID2,SUPERZONE,TAZ_NUMBER,SZ_ARZI_21,SZARZI_OLD,TABAAT,ARZI_1270,ARZI_250,SZ_NEW,longtitude,latitude
1016,100073,2000205,300018,40000006,רמת השרון,מחלף מורשה,5,51,2866569,,,,,,,,,99,34.847768,32.122889
1015,100074,2000205,300018,40000006,רמת השרון,"תעש- מחלף מורשה""",5,51,411251,,,,,,,,,99,34.861276,32.123407
1013,100075,2000205,300018,40000006,רמת השרון,מפעל,5,51,294956,,,,,,,,,99,34.857612,32.127239
1012,100076,2000205,300018,40000006,רמת השרון,שכונת מורשה,5,51,1541046,,,,,,,,,99,34.852734,32.131913
1008,100077,2000205,300018,40000006,רמת השרון,"תעש רמת השרון- דרום מערב""",5,51,696051,,,,,,,,,99,34.851492,32.139533
1007,100078,2000205,300018,40000006,רמת השרון,"תעש רמת השרון- מערב""",5,51,426382,,,,,,,,,99,34.850956,32.145232
1006,100079,2000205,300018,40000006,רמת השרון,נווה רסקו,5,51,1199409,,,,,,,,,99,34.841519,32.135931
1033,100080,2000205,300018,40000006,רמת השרון,אלון,5,51,1016444,,,,,,,,,99,34.842987,32.144584
1032,100081,2000205,300018,40000006,רמת השרון,קרית יערים ונווה רום,5,51,2334186,,,,,,,,,99,34.830565,32.146055
1031,100082,2000190,300020,40000009,רמת גן,"איצטדיון רמת גן, קניון איילון",5,51,436621,,,,,,,,,99,34.823702,32.100987
1030,100083,2000190,300020,40000009,רמת גן,שיכון ותיקים,5,51,686537,,,,,,,,,99,34.813485,32.093926
1037,100084,2000190,300020,40000009,רמת גן,נחלת גנים,5,51,754056,,,,,,,,,99,34.813471,32.089932
1036,100085,2000190,300020,40000009,רמת גן,שיכון עילית ומכללת שנקר,5,51,257188,,,,,,,,,99,34.804682,32.090434
1035,100086,2000190,300020,40000009,רמת גן,"המתמיד, תרפב",5,51,252582,,,,,,,,,99,34.805246,32.081257
1034,100087,2000190,300020,40000009,רמת גן,"פרוג שמעון, קריניצי, דר כהן",5,51,560265,,,,,,,,,99,34.813633,32.082888
1029,100088,2000190,300020,40000009,רמת גן,"קריניצי, נתן, שד' התמרים, הזיתים",5,51,586118,,,,,,,,,99,34.818023,32.085133
1028,100089,2000191,300020,40000009,רמת גן,הפועל המזרחי ב',5,51,601115,,,,,,,,,99,34.822138,32.079354
1071,100090,2000191,300020,40000009,רמת גן,רמת יצחק ותל יהודה,5,51,508251,,,,,,,,,99,34.822502,32.073846
1059,100091,2000181,300020,40000009,בני ברק,"מרום נווה, רמת יצחק (מזרח)",5,51,552854,,,,,,,,,99,34.83007,32.074647
1057,100092,2000192,300020,40000009,רמת גן,רמת עמידר,5,51,758780,,,,,,,,,99,34.834084,32.067367
1056,100093,2000192,300020,40000009,רמת גן,גן ערמונים,5,51,511577,,,,,,,,,99,34.832307,32.060511
1055,100094,2000191,300020,40000009,רמת גן,קרית בורוכוב,5,51,1247376,,,,,,,,,99,34.821005,32.064424
1064,100095,2000193,300020,40000009,רמת גן,קרית קרניצי,5,51,695551,,,,,,,,,99,34.846429,32.055254
1063,100096,2000193,300020,40000009,רמת גן,רמת חן ושיכון צנחנים,5,51,1895825,,,,,,,,,99,34.821655,32.052594
1062,100097,2000193,300020,40000009,רמת גן,ספארי,5,51,1541241,,,,,,,,,99,34.821945,32.045418
1061,100098,2000192,300020,40000009,רמת גן,אוניברסיטת בר אילן,5,51,520795,,,,,,,,,99,34.843593,32.06939
1050,100099,2000194,300020,40000009,רמת גן,בורסה רמת גן וגבעתיים,5,51,339577,,,,,,,,,99,34.801467,32.08219
498,100100,2000194,300020,40000009,רמת גן,"אזור תעשיה ומלאכה, מתחם הבורסה",5,51,235488,,,,,,,,,99,34.801896,32.086429
495,100101,2000206,300017,40000007,אור יהודה,קרית גיורא,5,51,704643,,,,,,,,,99,34.863645,32.02811
493,100102,2000206,300017,40000007,אור יהודה,"כפר ענה, נווה רבין",5,51,749256,,,,,,,,,99,34.86964,32.023274
505,100103,2000206,300017,40000007,אור יהודה,"מרכז העיר, עמידר",5,51,432532,,,,,,,,,99,34.853991,32.024203
503,100104,2000206,300017,40000007,אור יהודה,נווה סביון,5,51,648802,,,,,,,,,99,34.856644,32.029872
502,100105,2000206,300017,40000007,אור יהודה,שיכון ממשלתי ורמת פנקס,5,51,3226730,,,,,,,,,99,34.840222,32.028475
501,100106,2000075,300002,40000002,מועצה אזורית משגב,"רפאל- מכון לשם, מחנה שגב ותרדיון",2,24,6491033,,,,,,,,,99,35.284777,32.858372
558,100107,2000206,300017,40000007,אור יהודה,ההסתדרות,5,51,565807,,,,,,,,,99,34.858672,32.019777
556,100108,2000179,300020,40000009,בני ברק,"קרית הרצוג (מזרח) - מחסנים לשעת חירום, מפעל בטון שפיר",5,51,240622,,,,,,,,,99,34.844325,32.097505
555,100109,2000179,300020,40000009,בני ברק,קרית הרצוג,5,51,562938,,,,,,,,,99,34.837172,32.09798
537,100110,2000179,300020,40000009,בני ברק,"יסודות, פרדס כץ (מזרח)",5,51,302051,,,,,,,,,99,34.839479,32.093977
535,100111,2000179,300020,40000009,בני ברק,תל גיבורים,5,51,675418,,,,,,,,,99,34.828287,32.094057
532,100112,2000180,300020,40000009,בני ברק,"הרצוג, נתן הנביא, טבריה, בן גוריון דוד, מנחם",5,51,427905,,,,,,,,,99,34.82536,32.086634
529,100113,2000180,300020,40000009,בני ברק,"גבעת סוקולוב, גבעת רוקח",5,51,398568,,,,,,,,,99,34.828883,32.088696
544,100114,2000180,300020,40000009,בני ברק,"חשב סופר, ז'בוטינסקי, הרב שך, אהרונוביץ ראובן",5,51,385796,,,,,,,,,99,34.835772,32.088736
542,100115,2000181,300020,40000009,בני ברק,קרית הישיבה והפועל המזרחי,5,51,526439,,,,,,,,,99,34.830404,32.081915
541,100116,2000181,300020,40000009,בני ברק,"קרית נדבורנא, שיכון סאטמר, קרית הישיבה (מזרח)",5,51,435205,,,,,,,,,99,34.83648,32.080426
539,100117,2000182,300020,40000009,בני ברק,קרית ויזניץ',5,51,805515,,,,,,,,,99,34.837694,32.07509
581,100118,2000189,300017,40000007,קרית אונו,גני אילן,5,51,675539,,,,,,,,,99,34.852315,32.06476
579,100119,2000182,300020,40000009,בני ברק,רמת אהרון ומרכז רפואי מעייני הישועה,5,51,536504,,,,,,,,,99,34.841653,32.081638
578,100120,2000182,300020,40000009,בני ברק,"גני גד, שיכון ה' (הפועל המזרחי ה')",5,51,318320,,,,,,,,,99,34.841556,32.089877
570,100121,2000179,300020,40000009,בני ברק,אזור תעשיה בני ברק,5,51,1480069,,,,,,,,,99,34.834722,32.101448
569,100122,2000204,300020,40000009,גבעתיים,"בורוכוב מזרח, בורוכוב מערב",5,51,509100,,,,,,,,,99,34.807507,32.077189
566,100123,2000204,300020,40000009,גבעתיים,"גבעת רמבם""",5,51,629516,,,,,,,,,99,34.804049,32.070332
564,100124,2000204,300020,40000009,גבעתיים,ארלוזרוב ושיינקין,5,51,956957,,,,,,,,,99,34.813925,32.073878
575,100125,2000204,300020,40000009,גבעתיים,"בן צבי שמעון, פארק גבעתיים",5,51,517060,,,,,,,,,99,34.813453,32.063031
573,100126,2000204,300020,40000009,גבעתיים,שיכון עממי ג',5,51,280552,,,,,,,,,99,34.806583,32.062699
572,100127,2000189,300017,40000007,קרית אונו,הברושים,5,51,1099300,,,,,,,,,99,34.853912,32.058257
571,100128,2000189,300017,40000007,קרית אונו,פסגת אונו,5,51,873594,,,,,,,,,99,34.86242,32.062341
602,100129,2000189,300017,40000007,קרית אונו,עבר הירדן,5,51,1060349,,,,,,,,,99,34.860084,32.051059
600,100130,2000145,300017,40000007,מועצה אזורית דרום השרון,"כפר מעש, גת- רימון וגני תקוה",4,42,4429881,,,,,,,,,99,34.879983,32.061489
599,100131,2000150,300017,40000007,סביון,סביון*,4,42,3633800,,,,,,,,,99,34.877943,32.046468
590,100132,2000150,300017,40000007,יהוד,קרית גיורא,4,42,1410131,,,,,,,,,99,34.872887,32.033853
589,100133,2000150,300017,40000007,יהוד,בית עלמין יהוד,4,42,769370,,,,,,,,,99,34.88462,32.02358
586,100134,2000150,300017,40000007,יהוד,קרית ביאלסטוק,4,42,1784077,,,,,,,,,99,34.8887,32.032878
585,100135,2000150,300017,40000007,יהוד,קרית הסביונים,4,42,1150591,,,,,,,,,99,34.883121,32.033873
595,100136,2000150,300017,40000007,יהוד,פארק תעשיה מסחר ומדע,4,42,620602,,,,,,,,,99,34.902134,32.02781
593,100137,2000184,300021,40000010,אזור,בן גוריון ויצחק שדה,5,51,1488965,,,,,,,,,99,34.811212,32.018688
592,100138,2000184,300021,40000010,אזור,שיכון חדש,5,51,792494,,,,,,,,,99,34.797855,32.028415
591,100139,2000196,300021,40000009,בת ים,רוטשילד,5,51,909596,,,,,,,,,99,34.743121,32.027575
621,100140,2000197,300021,40000009,בת ים,יוספטל,5,51,904235,,,,,,,,,99,34.739675,32.01639
620,100141,2000197,300021,40000009,בת ים,"ישראל בן ציון, השקמה, בר יהודה, אורט ישראל",5,51,367805,,,,,,,,,99,34.745199,32.013401
619,100142,2000197,300021,40000009,בת ים,מערב קוממיות,5,51,1168391,,,,,,,,,99,34.738304,32.00424
611,100143,2000198,300021,40000009,בת ים,"רייק חביבה, קריתי, החשמונאים, החרושת",5,51,289449,,,,,,,,,99,34.749221,32.01655
609,100144,2000198,300021,40000009,בת ים,"החשמונאים, הפועל, דניאל, אנילביץ",5,51,323957,,,,,,,,,99,34.749272,32.020164
607,100145,2000198,300021,40000009,בת ים,"הרב הרצוג, שד' העצמאות, הרב עוזיאל",5,51,270246,,,,,,,,,99,34.750159,32.023583
