o,d,o_name,d_name,car_2022,transit_2022,gc_car,gc_bus,gc_brt,gc_lrt_ug,gc_lrt_ground,gc_lrt_ug_with_premium,P_lrt_of_transit_ug,lrt_trips_ug,lrt_from_bus_ug,lrt_from_car_ug,P_lrt_of_transit_ground,lrt_trips_ground,gc_lrt_d50,P_lrt_of_transit_d50,lrt_trips_d50,lrt_legs_ug,lrt_status_ug
201,202,TiratCarmel,Matam-NeotPeres,1924.92,283.61,12.27,35.32,,48.33,53.04,43.33,0.57,233.67,162.92,70.75,0.57,233.67,45.83,0.57,233.67,directLRT,derived
201,203,TiratCarmel,HofCarmel-NeveDavid,0.0,33.48,17.08,46.52,,54.15,62.04,49.15,0.57,19.23,19.23,0.0,0.57,19.23,49.79,0.57,19.23,directLRT,derived
201,204,TiratCarmel,Hecht-Shprintzak,0.0,47.46,19.39,43.66,,56.87,66.29,51.87,0.57,27.26,27.26,0.0,0.57,27.26,51.87,0.57,27.26,directLRT,derived
201,205,TiratCarmel,EinHayam,204.34,11.51,27.94,42.51,,61.17,72.3,56.17,0.57,9.79,6.61,3.18,0.57,9.79,54.95,0.57,9.79,directLRT,derived
201,206,TiratCarmel,BatGalim-KiryatEliezer,452.45,265.66,21.73,49.73,,66.33,80.83,61.33,0.57,195.81,152.61,43.2,0.57,195.81,58.24,0.57,195.81,directLRT,derived
201,207,TiratCarmel,Hamoshava,0.0,26.34,19.98,51.61,,61.61,77.91,56.61,0.57,15.13,15.13,0.0,0.57,15.13,52.3,0.57,15.13,directLRT,derived
201,208,TiratCarmel,LowerCity,265.8,91.88,21.02,56.02,,68.41,86.41,63.41,0.57,71.26,52.78,18.48,0.57,71.26,57.87,0.57,71.26,directLRT,derived
201,209,TiratCarmel,Namal-Giborim,177.28,34.51,24.48,75.01,,79.08,99.49,74.08,0.57,27.92,19.82,8.09,0.57,27.92,67.29,0.57,27.92,directLRT,derived
201,210,TiratCarmel,Hamifrats,414.05,51.74,21.85,80.34,,91.14,114.96,86.14,0.57,42.94,29.72,13.21,0.57,42.94,77.48,0.57,42.94,directLRT,derived
201,211,TiratCarmel,Bazan-Hutsot,0.0,19.59,24.62,78.35,,73.21,77.92,68.21,0.65,12.68,12.68,0.0,0.58,11.37,70.71,0.68,13.34,directLRT→brt,derived_feeder
201,212,TiratCarmel,TsometKiryatAta,573.86,20.81,25.46,65.94,,66.8,71.51,61.8,0.56,17.31,11.69,5.61,0.49,14.11,64.3,0.6,19.2,directLRT→brt,derived_feeder
201,213,TiratCarmel,KiryatAta North,0.0,1.02,32.97,76.81,,95.69,104.53,90.69,0.3,0.31,0.31,0.0,0.2,0.21,82.03,0.5,0.51,directLRT→brt,derived_feeder
201,214,TiratCarmel,KiryatAta North-East,0.0,0.26,37.73,94.59,,117.59,122.3,112.59,0.25,0.07,0.07,0.0,0.2,0.05,104.97,0.42,0.11,directLRT→bus,assumed
201,215,TiratCarmel,Shefaram,0.0,0.0,43.27,91.85,,113.56,119.56,108.56,0.27,0.0,0.0,0.0,0.2,0.0,99.9,0.45,0.0,directLRT→bus,derived_feeder
