lrt_legs_ug,pairs,transit_2022,lrt_ug,lrt_ground,lrt_d50,P_ug
brt→LRT,102,3309.0,1337.0,1043.0,1594.0,0.404
brt→LRT→brt,110,4199.0,459.0,381.0,508.0,0.109
brt→LRT→bus,44,75.0,9.0,8.0,10.0,0.12
bus→LRT,48,704.0,232.0,197.0,266.0,0.33
bus→LRT→brt,41,537.0,114.0,99.0,122.0,0.212
bus→LRT→bus,15,32.0,1.0,1.0,1.0,0.031
directLRT,90,4567.0,3266.0,3266.0,3266.0,0.715
directLRT→brt,81,570.0,283.0,232.0,329.0,0.496
directLRT→bus,69,141.0,53.0,44.0,62.0,0.376
