,area,LRT all underground,LRT all ground,LRT design 50 km/h,LRT design 50 km/h + accel/braking,LRT mixed (Haifa core underground)
201,TiratCarmel,695.0,688.0,700.0,695.0,689.0
202,Matam-NeotPeres,331.0,319.0,291.0,332.0,333.0
203,HofCarmel-NeveDavid,222.0,300.0,213.0,222.0,316.0
204,Hecht-Shprintzak,635.0,639.0,648.0,635.0,650.0
205,EinHayam,273.0,274.0,276.0,271.0,278.0
206,BatGalim-KiryatEliezer,612.0,596.0,626.0,613.0,595.0
207,Hamoshava,224.0,221.0,226.0,224.0,221.0
208,LowerCity,209.0,290.0,212.0,209.0,290.0
209,Namal-Giborim,764.0,944.0,800.0,767.0,948.0
210,Hamifrats,1789.0,998.0,2165.0,1807.0,998.0
