subset,sampled trips,survey door-to-door (min),GTFS in-vehicle (min),GTFS walk (min),GTFS wait (min),GTFS door-to-door (min),survey ÷ GTFS door-to-door,survey ÷ GTFS in-vehicle
all pairs with a direct service,98.69,31.78,15.77,5.35,1.87,22.99,1.38,2.01
trunk–trunk,35.92,26.76,11.52,4.86,1.02,17.40,1.54,2.32
trunk–branch,21.67,39.46,22.50,6.12,1.88,30.49,1.29,1.75
branch–branch,41.10,31.63,15.52,5.33,2.55,23.40,1.35,2.04
0–3 km,57.10,25.57,7.71,4.77,1.05,13.53,1.89,3.32
3–6 km,24.35,28.93,15.63,5.25,1.60,22.49,1.29,1.85
6–10 km,7.61,45.75,25.39,7.76,2.73,35.88,1.27,1.80
10–20 km,6.25,56.32,33.56,6.06,2.20,41.82,1.35,1.68
20–60 km,3.38,54.31,48.37,7.04,7.50,62.91,0.86,1.12
