scenario,SZ,population 2022,population year,trips per resident 2022,trips per resident year
HS_2040,21,56917.7795,75542.0000,0.6031,0.6422
HS_2040,22,87651.0631,97274.0000,0.7100,0.7380
HS_2040,23,31460.6940,38513.0000,0.6914,0.6960
HS_2040,24,62776.6206,77624.0000,0.5333,0.5386
HS_2040,25,27262.5015,34034.0000,0.8412,0.7965
HS_2040,30,71089.3269,84288.0000,0.5223,0.5380
HS_2040,31,53839.3778,68643.0000,0.5748,0.6038
HS_2040,32,68273.0464,96116.0000,0.7643,0.7610
HS_2040,33,54300.9720,82952.0000,0.5365,0.5243
HS_2040,34,91843.5959,121557.0000,0.6084,0.5667
HS_2040,35,122166.4218,191912.0000,0.5798,0.5728
HS_2040,36,123263.4466,173973.0000,0.5134,0.5023
HS_2040,37,32073.3849,41834.0000,0.7444,0.7812
HS_2040,38,165315.3202,238712.0000,0.3108,0.3083
HS_2040,39,111164.3242,150210.0000,0.6979,0.7243
HS_2040,40,155315.3994,268972.0000,0.5129,0.5155
HS_2050,1,81579.6867,155836.0000,0.5959,0.5597
HS_2050,2,130531.3619,196355.0000,0.5824,0.5952
HS_2050,3,141863.7643,195391.0000,0.5512,0.5901
HS_2050,4,116293.2375,178402.0000,0.4231,0.4327
HS_2050,5,40374.1225,61243.0000,0.3808,0.3806
HS_2050,6,47626.2611,61311.0000,0.7286,0.7424
HS_2050,7,45359.9560,65954.0000,0.6305,0.6372
HS_2050,8,37604.6735,62372.0000,0.6303,0.6259
HS_2050,9,59816.3918,131004.0000,0.7771,0.7853
HS_2050,10,34381.2820,45114.0000,0.4210,0.4325
HS_2050,11,27063.1540,45602.0000,0.5403,0.5862
HS_2050,12,50.0000,7912.0000,193.4480,2.2380
HS_2050,13,12393.9863,20591.0000,0.7325,0.6817
HS_2050,14,42269.2257,64665.0000,0.5030,0.5092
HS_2050,15,44894.1526,76929.0000,0.5387,0.5394
HS_2050,16,91233.2458,107681.0000,0.6679,0.6564
HS_2050,17,59845.5665,103483.0000,0.7469,0.7684
HS_2050,18,23374.9265,32902.0000,0.8045,0.8071
HS_2050,19,225323.3000,313180.0000,0.3874,0.4063
HS_2050,20,43452.2286,72749.0000,0.5360,0.5539
HS_2050,21,56917.7795,94560.0000,0.6031,0.6307
HS_2050,22,87651.0631,111680.0000,0.7100,0.7247
HS_2050,23,31460.6940,44533.0000,0.6914,0.6920
