scenario,layer,link,1→23 2022,1→23 year,23→1 2022,23→1 year
BU_2050,total,Kiryat Bialik South – Shefaram,206.4,293.6,1565.1,1784.1
BU_2050,total,Shefaram – Nazareth Area,239.1,317.3,934.1,1149.5
HS_2040,transit,TiratCarmel – Matam,769.3,964.8,319.1,414.8
HS_2040,transit,Matam – Neot Peres,836.7,1158.5,966.3,1219.7
HS_2040,transit,Neot Peres – Neve David,772.6,1291.2,1497.3,1906.7
HS_2040,transit,Neve David – Ein Hayam,1267.9,1778.2,1330.5,1747.7
HS_2040,transit,Ein Hayam – Bat Galim,1847.2,2486.7,1000.8,1313.2
HS_2040,transit,Bat Galim – Kiryat Eliezer,1652.5,2243.1,1119.7,1363.0
HS_2040,transit,Kiryat Eliezer – Hamoshava,1629.1,2199.1,772.0,970.0
HS_2040,transit,Hamoshava – Lower City,1768.1,2353.2,779.2,966.8
HS_2040,transit,Lower City – Hadar Carmel,1238.1,1824.7,1093.2,1206.6
HS_2040,transit,Hadar Carmel – Namal,884.6,1314.7,1178.2,1260.7
HS_2040,transit,Namal – Neve Yosef,856.3,1289.1,870.6,958.0
HS_2040,transit,Neve Yosef – Hamifrats,508.5,710.9,718.7,769.4
HS_2040,transit,Hamifrats – Hutzot,305.2,450.9,622.4,688.2
HS_2040,transit,Hutzot – Kiryat Ata Center,120.5,225.8,666.2,733.2
HS_2040,transit,Kiryat Ata Center – Kiryat Bialik South,43.8,81.6,505.1,495.5
HS_2040,transit,Kiryat Bialik South – Shefaram,3.2,7.0,510.5,512.7
HS_2040,transit,Shefaram – Nazareth Area,2.5,6.2,445.0,449.7
HS_2040,total,TiratCarmel – Matam,3622.8,5241.9,1297.7,2140.4
HS_2040,total,Matam – Neot Peres,2879.4,4481.3,3158.7,4436.9
HS_2040,total,Neot Peres – Neve David,2824.7,5071.5,3793.3,5457.6
HS_2040,total,Neve David – Ein Hayam,4190.5,6462.5,3705.5,5218.6
HS_2040,total,Ein Hayam – Bat Galim,6096.9,9034.0,3039.5,4323.3
HS_2040,total,Bat Galim – Kiryat Eliezer,5973.0,8525.1,5950.6,7228.8
HS_2040,total,Kiryat Eliezer – Hamoshava,6187.6,8633.2,4266.9,5275.3
HS_2040,total,Hamoshava – Lower City,5218.1,7242.1,2942.7,3691.3
HS_2040,total,Lower City – Hadar Carmel,4036.1,5866.1,3776.9,4527.7
HS_2040,total,Hadar Carmel – Namal,2709.8,3841.0,3347.7,3868.2
HS_2040,total,Namal – Neve Yosef,2525.4,3675.1,3384.2,3970.9
HS_2040,total,Neve Yosef – Hamifrats,1940.2,2688.5,3130.4,3608.0
HS_2040,total,Hamifrats – Hutzot,787.4,1155.7,3713.5,4334.7
HS_2040,total,Hutzot – Kiryat Ata Center,425.3,746.3,3775.3,4472.1
HS_2040,total,Kiryat Ata Center – Kiryat Bialik South,309.4,557.5,3223.1,3248.2
HS_2040,total,Kiryat Bialik South – Shefaram,206.4,378.2,1565.1,1518.2
HS_2040,total,Shefaram – Nazareth Area,239.1,398.9,934.1,1014.0
HS_2050,transit,TiratCarmel – Matam,769.3,1076.2,319.1,441.4
HS_2050,transit,Matam – Neot Peres,836.7,1429.7,966.3,1319.1
HS_2050,transit,Neot Peres – Neve David,772.6,1692.5,1497.3,2134.3
HS_2050,transit,Neve David – Ein Hayam,1267.9,2221.9,1330.5,2001.7
