PerID3,HHID,SurveyDay,placeno,o,d,share,w,comp,transit,new_wf,Age,age_grp,female,licence,HHnCars,licensed_drivers,car_seg,employed,student,paid_parking,sector,HHSIZE,purpose,mainmode,car_gc,bus_gc,brt_gc,bus_ivt,bus_walk,bus_wait,bus_transfers,car_ivt,tr_best_gc,has_brt,dGC,dGC_best,dist_km,band,w_norm,transit_lbl
3-24000073138-2,24000073138.00000,1,3,208,209,0.01234,0.76502,CAR,0,62.00356,42.00000,35-64,False,True,1.00000,1.00000,car_available,True,False,False,general,2.00000,NHB,10,9.62000,15.68000,17.01000,6.05000,3.98000,0.83000,0.00000,9.62000,15.68000,1,6.06000,6.06000,1.95148,<3,0.01323,car
3-24000073138-2,24000073138.00000,1,3,209,208,0.01187,0.73626,CAR,0,62.00356,42.00000,35-64,False,True,1.00000,1.00000,car_available,True,False,False,general,2.00000,NHB,10,10.20000,11.86000,13.28000,4.70000,2.79000,0.79000,0.00000,10.20000,11.86000,1,1.66000,1.66000,1.95148,<3,0.01273,car
3-24000073138-2,24000073138.00000,1,4,208,209,0.01234,0.76502,CAR,0,62.00356,42.00000,35-64,False,True,1.00000,1.00000,car_available,True,False,False,general,2.00000,NHB,10,9.62000,15.68000,17.01000,6.05000,3.98000,0.83000,0.00000,9.62000,15.68000,1,6.06000,6.06000,1.95148,<3,0.01323,car
3-24000073138-2,24000073138.00000,1,4,209,208,0.01187,0.73626,CAR,0,62.00356,42.00000,35-64,False,True,1.00000,1.00000,car_available,True,False,False,general,2.00000,NHB,10,10.20000,11.86000,13.28000,4.70000,2.79000,0.79000,0.00000,10.20000,11.86000,1,1.66000,1.66000,1.95148,<3,0.01273,car
3-24000073138-2,24000073138.00000,2,5,208,209,0.01234,0.76502,CAR,0,62.00356,42.00000,35-64,False,True,1.00000,1.00000,car_available,True,False,False,general,2.00000,NHB,10,9.62000,15.68000,17.01000,6.05000,3.98000,0.83000,0.00000,9.62000,15.68000,1,6.06000,6.06000,1.95148,<3,0.01323,car
3-24000073138-2,24000073138.00000,2,5,209,208,0.01187,0.73626,CAR,0,62.00356,42.00000,35-64,False,True,1.00000,1.00000,car_available,True,False,False,general,2.00000,NHB,10,10.20000,11.86000,13.28000,4.70000,2.79000,0.79000,0.00000,10.20000,11.86000,1,1.66000,1.66000,1.95148,<3,0.01273,car
3-24000073178-1,24000073178.00000,1,4,208,202,0.08146,2.31728,CAR,0,28.44568,30.00000,25-34,False,True,1.00000,1.00000,car_available,True,False,False,general,5.00000,NHB,10,16.10000,33.01000,37.19000,22.29000,4.45000,0.91000,0.00000,16.10000,33.01000,1,16.91000,16.91000,4.74249,3-6,0.04007,car
3-24000073178-1,24000073178.00000,1,4,209,202,0.12191,3.46780,CAR,0,28.44568,30.00000,25-34,False,True,1.00000,1.00000,car_available,True,False,False,general,5.00000,NHB,10,16.55000,38.37000,40.84000,29.30000,3.92000,0.61000,0.00000,16.55000,38.37000,1,21.82000,21.82000,5.13402,3-6,0.05996,car
3-24000073178-1,24000073178.00000,2,4,208,202,0.08146,2.31728,CAR,0,28.44568,30.00000,25-34,False,True,1.00000,1.00000,car_available,True,False,False,general,5.00000,NHB,10,16.10000,33.01000,37.19000,22.29000,4.45000,0.91000,0.00000,16.10000,33.01000,1,16.91000,16.91000,4.74249,3-6,0.04007,car
3-24000073178-1,24000073178.00000,2,4,209,202,0.12191,3.46780,CAR,0,28.44568,30.00000,25-34,False,True,1.00000,1.00000,car_available,True,False,False,general,5.00000,NHB,10,16.55000,38.37000,40.84000,29.30000,3.92000,0.61000,0.00000,16.55000,38.37000,1,21.82000,21.82000,5.13402,3-6,0.05996,car
3-24000073178-2,24000073178.00000,1,4,208,202,0.08146,2.31728,CAR,0,28.44568,29.00000,25-34,True,False,1.00000,1.00000,no_licence,True,False,False,general,5.00000,NHB,11,16.10000,33.01000,37.19000,22.29000,4.45000,0.91000,0.00000,16.10000,33.01000,1,16.91000,16.91000,4.74249,3-6,0.04007,car
3-24000073178-2,24000073178.00000,1,4,209,202,0.12191,3.46780,CAR,0,28.44568,29.00000,25-34,True,False,1.00000,1.00000,no_licence,True,False,False,general,5.00000,NHB,11,16.55000,38.37000,40.84000,29.30000,3.92000,0.61000,0.00000,16.55000,38.37000,1,21.82000,21.82000,5.13402,3-6,0.05996,car
3-24000073178-2,24000073178.00000,2,4,208,202,0.08146,2.31728,CAR,0,28.44568,29.00000,25-34,True,False,1.00000,1.00000,no_licence,True,False,False,general,5.00000,NHB,11,16.10000,33.01000,37.19000,22.29000,4.45000,0.91000,0.00000,16.10000,33.01000,1,16.91000,16.91000,4.74249,3-6,0.04007,car
3-24000073178-2,24000073178.00000,2,4,209,202,0.12191,3.46780,CAR,0,28.44568,29.00000,25-34,True,False,1.00000,1.00000,no_licence,True,False,False,general,5.00000,NHB,11,16.55000,38.37000,40.84000,29.30000,3.92000,0.61000,0.00000,16.55000,38.37000,1,21.82000,21.82000,5.13402,3-6,0.05996,car
3-24000074108-2,24000074108.00000,1,3,208,209,0.01234,0.14237,CAR,0,11.53856,29.00000,25-34,False,True,1.00000,2.00000,competition,True,False,False,general,7.00000,NHB,10,9.62000,15.68000,17.01000,6.05000,3.98000,0.83000,0.00000,9.62000,15.68000,1,6.06000,6.06000,1.95148,<3,0.00246,car
3-24000074108-2,24000074108.00000,1,3,209,208,0.01187,0.13701,CAR,0,11.53856,29.00000,25-34,False,True,1.00000,2.00000,competition,True,False,False,general,7.00000,NHB,10,10.20000,11.86000,13.28000,4.70000,2.79000,0.79000,0.00000,10.20000,11.86000,1,1.66000,1.66000,1.95148,<3,0.00237,car
3-24000074108-2,24000074108.00000,2,3,208,209,0.01234,0.14237,CAR,0,11.53856,29.00000,25-34,False,True,1.00000,2.00000,competition,True,False,False,general,7.00000,NHB,10,9.62000,15.68000,17.01000,6.05000,3.98000,0.83000,0.00000,9.62000,15.68000,1,6.06000,6.06000,1.95148,<3,0.00246,car
3-24000074108-2,24000074108.00000,2,3,209,208,0.01187,0.13701,CAR,0,11.53856,29.00000,25-34,False,True,1.00000,2.00000,competition,True,False,False,general,7.00000,NHB,10,10.20000,11.86000,13.28000,4.70000,2.79000,0.79000,0.00000,10.20000,11.86000,1,1.66000,1.66000,1.95148,<3,0.00237,car
3-24000074274-1,24000074274.00000,2,3,103,209,0.30951,5.19680,CAR,0,16.79052,50.00000,35-64,False,True,0.00000,1.00000,no_car_hh,True,False,False,general,4.00000,NHB,10,21.10000,37.39000,37.39000,21.48000,4.95000,3.00000,0.00000,21.10000,37.39000,1,16.29000,16.29000,7.43212,6-10,0.08986,car
3-24000074274-1,24000074274.00000,2,3,104,209,0.24090,4.04482,CAR,0,16.79052,50.00000,35-64,False,True,0.00000,1.00000,no_car_hh,True,False,False,general,4.00000,NHB,10,17.57000,33.84000,33.84000,20.23000,5.30000,1.50000,0.00000,17.57000,33.84000,1,16.27000,16.27000,6.18558,6-10,0.06994,car
3-24000075224-1,24000075224.00000,2,2,208,209,0.01234,4.31841,CAR,0,350.00000,67.00000,65+,False,True,1.00000,1.00000,car_available,False,False,False,general,3.00000,HBO,10,9.62000,15.68000,17.01000,6.05000,3.98000,0.83000,0.00000,9.62000,15.68000,1,6.06000,6.06000,1.95148,<3,0.07467,car
3-24000075224-1,24000075224.00000,2,2,209,208,0.01187,4.15608,CAR,0,350.00000,67.00000,65+,False,True,1.00000,1.00000,car_available,False,False,False,general,3.00000,HBO,10,10.20000,11.86000,13.28000,4.70000,2.79000,0.79000,0.00000,10.20000,11.86000,1,1.66000,1.66000,1.95148,<3,0.07186,car
3-24000075224-1,24000075224.00000,2,3,209,208,0.12191,42.66829,CAR,0,350.00000,67.00000,65+,False,True,1.00000,1.00000,car_available,False,False,False,general,3.00000,NHB,10,10.20000,11.86000,13.28000,4.70000,2.79000,0.79000,0.00000,10.20000,11.86000,1,1.66000,1.66000,1.95148,<3,0.73777,car
3-24000076878-1,24000076878.00000,1,3,203,206,0.64835,24.68577,CAR,0,38.07486,31.00000,25-34,False,True,1.00000,2.00000,competition,True,False,False,general,3.00000,NHB,10,12.93000,22.67000,21.45000,11.10000,4.97000,0.81000,0.00000,12.93000,21.45000,1,9.74000,8.52000,3.02113,3-6,0.42684,car
3-24000076878-1,24000076878.00000,1,3,204,206,0.35165,13.38909,CAR,0,38.07486,31.00000,25-34,False,True,1.00000,2.00000,competition,True,False,False,general,3.00000,NHB,10,9.89000,17.76000,16.70000,7.92000,4.21000,0.71000,0.00000,9.89000,16.70000,1,7.87000,6.81000,2.20998,<3,0.23151,car
3-24000076878-2,24000076878.00000,2,3,206,203,0.71314,27.15279,CAR,0,38.07486,31.00000,25-34,True,True,1.00000,2.00000,competition,True,False,False,general,3.00000,NHB,10,13.60000,25.98000,27.57000,11.35000,6.59000,0.73000,0.00000,13.60000,25.98000,1,12.38000,12.38000,3.02113,3-6,0.46949,car
3-24000076878-2,24000076878.00000,2,3,206,204,0.28686,10.92208,CAR,0,38.07486,31.00000,25-34,True,True,1.00000,2.00000,competition,True,False,False,general,3.00000,NHB,10,8.36000,18.38000,20.04000,9.84000,3.57000,0.70000,0.00000,8.36000,18.38000,1,10.02000,10.02000,2.20998,<3,0.18885,car
3-24000076878-2,24000076878.00000,2,4,203,201,0.64835,24.68577,CAR,0,38.07486,31.00000,25-34,True,True,1.00000,2.00000,competition,True,False,False,general,3.00000,NHB,10,17.60000,35.66000,,11.21000,6.23000,6.00000,0.00000,17.60000,35.66000,0,18.06000,18.06000,5.42251,3-6,0.42684,car
3-24000076878-2,24000076878.00000,2,4,204,201,0.35165,13.38909,CAR,0,38.07486,31.00000,25-34,True,True,1.00000,2.00000,competition,True,False,False,general,3.00000,NHB,10,18.79000,35.50000,,12.59000,5.46000,6.00000,0.00000,18.79000,35.50000,0,16.71000,16.71000,6.66762,6-10,0.23151,car
