model,term,coef,se,p
M4: licence holders in car-owning households only (the segment the LRT would draw from the car),"C(age_grp, Treatment(""35-64""))[T.18-24]",-1.08149,1.28310,0.39930
M4: licence holders in car-owning households only (the segment the LRT would draw from the car),"C(age_grp, Treatment(""35-64""))[T.25-34]",0.40952,0.60593,0.49913
M4: licence holders in car-owning households only (the segment the LRT would draw from the car),"C(age_grp, Treatment(""35-64""))[T.65+]",0.30897,1.08564,0.77595
M4: licence holders in car-owning households only (the segment the LRT would draw from the car),female[T.True],0.05201,0.54869,0.92448
M4: licence holders in car-owning households only (the segment the LRT would draw from the car),student[T.True],-0.16584,1.12310,0.88261
M4: licence holders in car-owning households only (the segment the LRT would draw from the car),"C(sector, Treatment(""general""))[T.arab]",-2.74323,1.05048,0.00902
M4: licence holders in car-owning households only (the segment the LRT would draw from the car),"C(band, Treatment(""6-10""))[T.<3]",-0.48664,0.66999,0.46763
M4: licence holders in car-owning households only (the segment the LRT would draw from the car),"C(band, Treatment(""6-10""))[T.3-6]",-0.40901,0.63606,0.52020
M4: licence holders in car-owning households only (the segment the LRT would draw from the car),"C(band, Treatment(""6-10""))[T.10-20]",0.73155,0.74798,0.32806
M4: licence holders in car-owning households only (the segment the LRT would draw from the car),"C(band, Treatment(""6-10""))[T.20+]",1.16094,1.14903,0.31232
M4: licence holders in car-owning households only (the segment the LRT would draw from the car),dGC,-0.00784,0.01671,0.63915
