o,o_name,d,d_name,bus_ivt_min,bus_trips_0609,bus_trips_0708,bus_headway_0708_min,brt_ivt_min,brt_trips_0609,brt_trips_0708,brt_headway_0708_min,step26_fastest_path_min
213,KiryatAta North,301,SavyoneyYam,36.25,10,4,15.00,,,,,18.21
213,KiryatAta North,302,KiryatYam A,32.57,10,4,15.00,,,,,20.15
213,KiryatAta North,303,KiryatYam B+C,21.15,12,4,15.00,,,,,17.92
213,KiryatAta North,304,KiryatHaim West,24.00,25,9,6.67,,,,,12.72
214,KiryatAta North-East,101,TsurShalom,50.00,16,7,8.57,,,,,30.98
214,KiryatAta North-East,102,Kiryon,7.30,38,17,3.53,,,,,26.66
214,KiryatAta North-East,103,KiryatBialik Center,8.03,33,14,4.29,,,,,28.93
214,KiryatAta North-East,104,KiryatHaim,12.00,33,14,4.29,,,,,24.64
214,KiryatAta North-East,210,Hamifrats,22.00,60,25,2.40,,,,,35.28
214,KiryatAta North-East,211,Bazan-Hutsot,17.83,45,19,3.16,,,,,26.35
214,KiryatAta North-East,212,TsometKiryatAta,15.00,66,26,2.31,,,,,26.07
214,KiryatAta North-East,213,KiryatAta North,2.38,39,14,4.29,,,,,18.10
214,KiryatAta North-East,215,Shefaram,2.06,20,8,7.50,,,,,29.33
215,Shefaram,101,TsurShalom,14.80,4,2,30.00,,,,,24.02
215,Shefaram,102,Kiryon,13.85,16,8,7.50,,,,,19.70
215,Shefaram,103,KiryatBialik Center,18.43,12,6,10.00,,,,,27.90
215,Shefaram,104,KiryatHaim,22.27,12,6,10.00,,,,,23.97
215,Shefaram,206,BatGalim-KiryatEliezer,55.64,2,0,,,,,,43.17
215,Shefaram,207,Hamoshava,52.48,2,0,,,,,,37.51
215,Shefaram,210,Hamifrats,29.58,30,13,4.62,,,,,27.25
215,Shefaram,211,Bazan-Hutsot,28.24,20,9,6.67,,,,,25.67
215,Shefaram,212,TsometKiryatAta,25.83,20,9,6.67,,,,,25.40
215,Shefaram,213,KiryatAta North,16.74,8,3,20.00,,,,,20.71
215,Shefaram,214,KiryatAta North-East,8.82,42,17,3.53,,,,,33.70
215,Shefaram,216,Hamovil,9.00,27,13,4.62,,,,,18.10
215,Shefaram,217,Nazareth,16.12,22,10,6.00,,,,,33.72
216,Hamovil,101,TsurShalom,21.00,3,1,60.00,,,,,27.91
216,Hamovil,102,Kiryon,20.17,11,5,12.00,,,,,23.58
216,Hamovil,103,KiryatBialik Center,22.38,8,4,15.00,,,,,31.78
216,Hamovil,104,KiryatHaim,25.81,8,4,15.00,,,,,28.69
216,Hamovil,210,Hamifrats,33.50,20,9,6.67,,,,,29.88
216,Hamovil,211,Bazan-Hutsot,31.97,11,5,12.00,,,,,30.39
216,Hamovil,212,TsometKiryatAta,28.00,11,5,12.00,,,,,30.12
216,Hamovil,213,KiryatAta North,16.12,3,1,60.00,,,,,25.43
216,Hamovil,214,KiryatAta North-East,13.00,22,8,7.50,,,,,38.42
216,Hamovil,215,Shefaram,6.72,40,14,4.29,,,,,16.00
216,Hamovil,217,Nazareth,7.38,43,16,3.75,,,,,25.21
217,Nazareth,101,TsurShalom,41.98,3,1,60.00,,,,,48.39
217,Nazareth,102,Kiryon,43.98,8,4,15.00,,,,,44.06
217,Nazareth,103,KiryatBialik Center,50.98,5,3,20.00,,,,,52.26
217,Nazareth,104,KiryatHaim,54.98,5,3,20.00,,,,,49.17
217,Nazareth,206,BatGalim-KiryatEliezer,54.00,4,2,30.00,,,,,64.66
217,Nazareth,207,Hamoshava,53.27,4,2,30.00,,,,,59.00
217,Nazareth,208,LowerCity,59.48,8,4,15.00,,,,,56.90
217,Nazareth,209,Namal-Giborim,44.48,9,4,15.00,,,,,53.66
217,Nazareth,210,Hamifrats,54.98,17,7,8.57,,,,,48.40
217,Nazareth,211,Bazan-Hutsot,59.75,7,4,15.00,,,,,50.87
217,Nazareth,212,TsometKiryatAta,56.13,7,4,15.00,,,,,50.60
217,Nazareth,213,KiryatAta North,46.13,2,1,60.00,,,,,45.91
217,Nazareth,214,KiryatAta North-East,39.91,10,5,12.00,,,,,58.90
217,Nazareth,215,Shefaram,33.43,15,7,8.57,,,,,36.48
217,Nazareth,216,Hamovil,20.98,23,9,6.67,,,,,29.57
301,SavyoneyYam,101,TsurShalom,7.53,75,27,2.22,94.73,25.00,9.00,6.67,7.49
301,SavyoneyYam,102,Kiryon,20.48,28,11,5.45,,,,,9.12
301,SavyoneyYam,103,KiryatBialik Center,16.00,29,11,5.45,,,,,15.23
301,SavyoneyYam,104,KiryatHaim,24.30,13,5,12.00,,,,,11.88
301,SavyoneyYam,209,Namal-Giborim,37.63,29,15,4.00,37.63,29.00,15.00,4.00,22.26
301,SavyoneyYam,210,Hamifrats,31.00,39,18,3.33,31.00,30.00,15.00,4.00,27.88
301,SavyoneyYam,211,Bazan-Hutsot,20.17,55,24,2.50,20.17,32.00,15.00,4.00,15.76
301,SavyoneyYam,212,TsometKiryatAta,19.58,46,20,3.00,19.58,32.00,15.00,4.00,13.88
301,SavyoneyYam,213,KiryatAta North,42.43,13,5,12.00,,,,,19.44
301,SavyoneyYam,302,KiryatYam A,5.35,102,38,1.58,5.63,34.00,15.00,4.00,3.76
301,SavyoneyYam,303,KiryatYam B+C,9.35,102,38,1.58,8.63,34.00,15.00,4.00,7.43
301,SavyoneyYam,304,KiryatHaim West,14.57,68,27,2.22,11.97,33.00,15.00,4.00,9.70
302,KiryatYam A,101,TsurShalom,17.90,85,32,1.88,89.10,24.00,9.00,6.67,12.56
302,KiryatYam A,102,Kiryon,20.75,41,15,4.00,,,,,11.02
302,KiryatYam A,103,KiryatBialik Center,10.00,42,15,4.00,,,,,14.68
302,KiryatYam A,104,KiryatHaim,18.95,14,5,12.00,,,,,10.22
302,KiryatYam A,209,Namal-Giborim,32.00,29,15,4.00,32.00,29.00,15.00,4.00,20.59
302,KiryatYam A,210,Hamifrats,25.37,39,19,3.16,25.37,30.00,15.00,4.00,26.21
302,KiryatYam A,211,Bazan-Hutsot,14.53,56,25,2.40,14.53,32.00,15.00,4.00,14.10
302,KiryatYam A,212,TsometKiryatAta,13.95,46,21,2.86,13.95,32.00,15.00,4.00,12.21
302,KiryatYam A,213,KiryatAta North,37.08,13,6,10.00,,,,,17.78
302,KiryatYam A,301,SavyoneyYam,10.37,75,28,2.14,84.00,26.00,11.00,5.45,7.03
302,KiryatYam A,303,KiryatYam B+C,3.00,141,53,1.13,3.00,34.00,15.00,4.00,5.77
302,KiryatYam A,304,KiryatHaim West,10.00,69,29,2.07,6.33,33.00,15.00,4.00,8.03
303,KiryatYam B+C,101,TsurShalom,19.33,96,36,1.67,86.10,24.00,8.00,7.50,14.23
303,KiryatYam B+C,102,Kiryon,24.00,51,20,3.00,,,,,12.68
303,KiryatYam B+C,103,KiryatBialik Center,6.00,53,20,3.00,,,,,16.34
303,KiryatYam B+C,104,KiryatHaim,14.95,25,10,6.00,,,,,11.88
303,KiryatYam B+C,203,HofCarmel-NeveDavid,31.00,12,5,12.00,,,,,28.70
303,KiryatYam B+C,206,BatGalim-KiryatEliezer,24.00,13,5,12.00,,,,,29.38
303,KiryatYam B+C,208,LowerCity,19.00,13,5,12.00,,,,,21.63
303,KiryatYam B+C,209,Namal-Giborim,29.00,30,14,4.29,29.00,30.00,14.00,4.29,18.38
303,KiryatYam B+C,210,Hamifrats,22.37,54,23,2.61,22.37,31.00,14.00,4.29,24.01
303,KiryatYam B+C,211,Bazan-Hutsot,11.53,67,27,2.22,11.53,33.00,14.00,4.29,11.89
303,KiryatYam B+C,212,TsometKiryatAta,10.95,48,20,3.00,10.95,33.00,14.00,4.29,10.01
303,KiryatYam B+C,213,KiryatAta North,32.83,14,6,10.00,,,,,18.25
303,KiryatYam B+C,301,SavyoneyYam,10.42,64,23,2.61,81.00,26.00,10.00,6.00,8.70
303,KiryatYam B+C,302,KiryatYam A,5.00,117,43,1.40,77.37,27.00,11.00,5.45,10.42
303,KiryatYam B+C,304,KiryatHaim West,7.67,93,36,1.67,3.33,34.00,14.00,4.29,5.83
304,KiryatHaim West,101,TsurShalom,26.28,59,22,2.73,82.77,24.00,8.00,7.50,17.27
304,KiryatHaim West,102,Kiryon,20.20,23,9,6.67,,,,,15.73
304,KiryatHaim West,103,KiryatBialik Center,14.03,25,9,6.67,,,,,16.24
304,KiryatHaim West,104,KiryatHaim,7.18,29,10,6.00,,,,,11.95
304,KiryatHaim West,203,HofCarmel-NeveDavid,28.00,7,3,20.00,,,,,26.82
304,KiryatHaim West,206,BatGalim-KiryatEliezer,22.00,8,3,20.00,,,,,27.51
304,KiryatHaim West,208,LowerCity,17.00,8,3,20.00,,,,,19.75
304,KiryatHaim West,209,Namal-Giborim,25.67,30,14,4.29,25.67,30.00,14.00,4.29,16.51
304,KiryatHaim West,210,Hamifrats,19.03,55,24,2.50,19.03,31.00,14.00,4.29,22.13
304,KiryatHaim West,211,Bazan-Hutsot,8.20,74,30,2.00,8.20,33.00,14.00,4.29,10.01
304,KiryatHaim West,212,TsometKiryatAta,7.62,68,28,2.14,7.62,33.00,14.00,4.29,8.13
304,KiryatHaim West,213,KiryatAta North,20.97,26,11,5.45,,,,,16.37
304,KiryatHaim West,301,SavyoneyYam,20.00,40,15,4.00,77.67,26.00,10.00,6.00,11.74
304,KiryatHaim West,302,KiryatYam A,16.32,52,20,3.00,74.03,27.00,11.00,5.45,13.47
304,KiryatHaim West,303,KiryatYam B+C,6.82,78,28,2.14,70.03,28.00,12.00,5.00,9.84
