stop_id,stop_code,stop_name,x,y,TAZ
1155,40163,שד. הנשיא וייצמן/הגיבורים,192713.0,712893.8,3911
1158,40166,כיכר צ'רנין/כביש 6511,192582.7,712176.5,3912
1160,40169,פרנק/דוד שמעוני,191452.8,705059.9,4010
1162,40171,ויצמן/הרצוג,192726.8,712696.5,3911
1163,40172,שד. הנשיא וייצמן/הרצוג,192743.6,712715.7,3911
1165,40174,צומת פל ים,192757.5,709718.3,3921
1166,40175,צומת פל ים,192810.7,709589.9,3921
1167,40177,הזית/ההדס,192834.8,713588.8,3910
1168,40179,אחד העם/סמסונוב,192792.2,704520.9,4014
1169,40180,הנשיא וייצמן/הבנים,192806.7,705087.7,4015
1170,40181,הנשיא וייצמן/הבנים,192789.5,705072.5,4015
1173,40184,הרברט סמואל/שד. רוטשילד,192870.1,704676.2,4015
1176,40188,שדרות דוד המלך/גלפנשטיין,192835.5,711883.1,3912
1177,40189,שד. דוד המלך/הרימון,192833.9,711596.0,3912
1178,40191,שדרות דוד המלך/הסיגלית,192833.9,711728.8,3912
1179,40192,הרימון/שדרות דוד המלך,192914.0,711533.0,3912
1180,40193,שד. שידלובסקי/ניל''י,192891.9,712356.7,3912
1182,40195,הגיבורים/הרברט סמואל,192916.9,704662.1,4015
1183,40196,מרכז מבנה תעשיה/הזית,192829.5,713609.1,3910
1184,40197,הגיבורים/הרברט סמואל,192956.3,704734.6,4015
1186,40199,הזית/הערבה,193024.6,713657.0,3910
1187,40200,הגיבורים/העלייה הראשונה,192976.3,704720.7,4015
1188,40202,הגיבורים/הנשיא וייצמן,192966.2,705035.3,4015
1189,40203,ז'בוטינסקי/הגיבורים,192992.0,704247.2,4014
1190,40205,הזית/הערבה,193100.3,713646.3,3910
1191,40207,הגיבורים/הנשיא וייצמן,193015.1,704945.4,4015
1192,40209,הגפן/וייצמן,193105.9,711942.5,3912
1193,40210,תרנ''א/ז'בוטינסקי,193077.2,704259.1,4014
1194,40211,הרימון/התאנה,193123.9,711532.9,3912
1195,40212,הרברט סמואל/הגיבורים,193046.4,704623.1,4015
1197,40214,הנשיא וייצמן/לבוצקין,193159.7,704973.9,4015
1198,40216,תמר/התאנה,193175.7,711794.1,3912
1200,40219,אזור תעשיה,193104.7,712010.1,3912
1202,40221,אזור תעשיה,193232.8,712337.6,3912
1203,40222,צומת גבעת חביבה,202057.1,707091.7,4002
