stop_a,stop_b,routed_m,straight_m,covered_m,observed_min,n_trips,flag
2069,3661,309.48,218.40,309.48,0.67,15,ok
20690,5817,393.44,384.29,0.00,0.70,1,no_coverage
20694,20695,1420.98,1477.94,1420.98,1.78,31,ok
20694,5237,1624.51,1395.53,1624.51,2.17,3,ok
20695,18691,2337.29,1701.94,2337.29,2.70,5,ok
20695,20637,4935.94,3376.42,4935.94,7.28,2,ok
20695,5760,2113.02,1644.95,2113.02,2.36,33,ok
20696,42009,2421.25,1452.11,2378.34,2.89,1,ok
20696,5627,1950.97,1824.10,1950.97,1.85,43,ok
20697,18793,937.88,823.91,0.00,1.42,2,no_coverage
20697,19572,301.63,255.38,0.00,0.17,2,no_coverage
20698,20328,1138.45,877.21,693.56,2.66,2,ok
20698,6290,4292.91,3507.94,0.00,3.35,3,no_coverage
2070,2078,141.48,157.20,141.48,0.48,37,ok_undirected
20700,20463,268.77,319.21,268.77,1.39,16,ok
20701,19566,367.29,254.12,367.29,1.04,10,ok_undirected
20701,20461,212.76,158.82,212.76,0.51,6,ok
20701,6715,232.97,128.69,232.97,0.54,33,ok
20702,20540,370.61,263.83,370.61,0.95,2,ok_undirected
20702,20612,291.48,241.01,291.48,0.95,25,ok_undirected
20702,49695,879.64,504.98,550.13,2.27,3,ok
20703,20704,262.59,229.92,262.59,0.63,17,ok
20703,5599,368.55,341.19,368.55,1.06,26,ok
20704,20705,469.31,501.37,469.31,0.93,17,ok
20705,20617,731.90,701.21,731.90,1.56,1,ok_undirected
20705,7171,655.02,334.32,655.02,1.82,16,ok
20709,20710,1920.35,1859.79,1920.35,1.84,13,ok
2071,2072,1195.83,584.09,1195.83,3.02,118,ok
2071,3512,1091.36,1081.91,1091.36,2.75,2,ok
20710,20078,2348.91,2274.20,2348.91,2.08,4,ok
20710,46769,2079.24,1962.04,2079.24,1.86,9,ok
20711,20712,1884.20,1813.76,1884.20,1.63,4,ok
20712,19933,878.89,794.46,878.89,0.69,3,ok
20712,19997,904.24,885.95,904.24,0.71,1,ok
20713,19842,302.78,143.65,302.78,0.63,4,ok_undirected
20713,19843,1188.93,1203.66,1188.93,1.99,16,ok
20713,42209,1644.38,1423.14,1644.38,2.85,9,ok
20717,43385,576.03,420.93,315.43,0.79,4,ok
2072,16964,1428.48,1262.50,1428.48,2.53,10,ok
2072,3512,616.78,497.84,616.78,1.86,127,ok
20720,39024,252.90,233.31,252.90,0.62,19,ok
20721,1766,547.27,437.82,547.27,2.22,7,ok
20721,18803,573.72,516.72,573.72,2.29,1,ok
20721,3945,617.97,553.55,617.97,2.42,17,ok
20722,20308,263.78,208.80,263.78,0.66,60,ok
20723,51216,81.67,95.93,81.67,0.23,2,ok
20723,5557,234.51,231.40,234.51,0.70,12,ok
2073,3767,119.76,130.98,119.76,0.29,8,ok
20735,20736,426.32,369.45,426.32,0.72,6,ok
20736,5564,275.95,257.14,275.95,0.51,6,ok
20737,19525,496.35,337.34,496.35,1.25,28,ok
20737,42199,463.77,429.84,463.77,1.36,18,ok
2074,3768,24.35,126.95,24.35,0.05,8,ok
20740,19821,,10743.66,,8.53,4,unreachable
20740,42405,11976.61,10270.05,11265.64,11.12,1,ok
20740,4763,7849.85,3962.60,7849.85,7.82,7,ok
20740,4895,11300.68,10674.57,11300.68,11.51,2,ok
20742,6073,195.11,182.78,0.00,0.77,4,no_coverage
20743,20745,558.39,309.97,558.39,1.50,22,ok
20744,4165,1236.45,146.94,1236.45,3.20,26,ok
20745,20746,303.91,304.90,303.91,0.78,22,ok
20746,18040,232.80,159.53,232.80,0.66,11,ok_undirected
20746,20748,403.97,342.58,403.97,1.08,10,ok
20746,7283,221.42,101.97,221.42,0.67,1,ok_undirected
20747,34160,135.44,135.34,135.44,0.36,1,ok
20747,6848,670.45,381.07,670.45,1.78,1,ok
20748,20749,588.74,393.41,588.74,1.52,12,ok
20748,38657,268.92,321.98,268.92,0.55,1,ok
20748,7001,257.74,234.85,257.74,0.74,35,ok
20749,20568,214.60,284.79,214.60,0.66,12,ok
2075,2683,362.30,236.98,362.30,0.90,8,ok_undirected
20750,34331,262.02,172.18,262.02,0.69,28,ok
20750,48797,270.10,227.96,48.75,0.74,1,ok
20752,20753,356.90,399.36,356.90,0.78,4,ok
20753,20754,455.54,213.14,455.54,1.24,4,ok
20754,49499,354.87,152.65,333.80,0.95,4,ok_undirected
20755,6076,224.95,173.33,224.95,0.42,4,ok
20756,20757,407.84,325.98,407.84,1.54,1,ok
20757,20758,468.82,493.99,468.82,2.20,1,ok
20758,20759,186.08,206.46,186.08,0.45,4,ok
20759,20219,1467.54,1089.70,1467.54,4.15,1,ok
20759,6062,207.19,176.24,207.19,0.49,3,ok
2076,2077,123.10,139.75,123.10,0.37,9,ok
20760,20761,382.12,297.42,382.12,1.20,9,ok
20761,20219,715.69,538.39,715.69,1.80,3,ok
20761,20220,350.50,309.43,350.50,1.26,6,ok
20766,20767,524.19,505.02,524.19,1.53,18,ok
20767,4201,280.06,248.71,280.06,0.80,18,ok
20768,20769,357.71,326.47,357.71,1.23,22,ok
20768,6711,929.92,628.89,929.92,2.72,4,ok
20769,40495,859.74,405.54,859.74,2.44,8,ok
20769,6712,478.51,455.83,478.51,1.51,12,ok
20769,6724,541.62,409.22,541.62,1.68,6,ok
2077,2063,223.52,117.08,223.52,0.77,9,ok
20774,5606,266.62,156.41,0.00,0.77,3,no_coverage
20775,17515,587.38,271.07,0.00,0.55,4,no_coverage
20776,18389,371.37,128.14,371.37,1.24,55,ok
20776,18397,370.94,264.11,370.94,1.22,1,ok
20776,18420,516.50,319.34,516.50,1.48,1,ok_undirected
2078,2080,255.72,183.85,255.72,0.78,37,ok_undirected
20781,41942,123.66,123.08,123.66,0.35,11,ok
20783,6890,164.63,199.94,164.63,0.37,17,ok
20784,20785,288.55,273.35,288.55,0.80,15,ok
20785,20786,191.81,236.80,191.81,0.69,14,ok
20785,39743,669.64,438.78,669.64,2.13,1,ok
20786,20787,397.56,326.70,397.56,1.04,14,ok
20787,20495,334.05,294.91,334.05,0.91,14,ok
2079,2620,512.37,448.52,512.37,0.81,67,ok
20792,41472,5221.45,4014.23,5025.39,6.66,1,ok
20792,41575,330.78,373.11,330.78,0.74,5,ok
20794,18737,1627.34,1605.12,1627.34,1.23,32,ok_undirected
20794,39237,1618.51,1531.15,1618.51,1.34,2,ok
20795,7194,3516.82,2787.16,3474.48,3.69,36,ok_undirected
20796,20794,3603.18,2801.61,3603.18,2.45,28,ok
20798,20799,304.98,233.41,304.98,0.60,15,ok
20799,20800,556.42,227.98,556.42,0.85,15,ok
2080,2755,386.68,341.80,386.68,0.85,82,ok
20800,18668,852.81,578.42,852.81,2.26,5,ok
20800,18690,815.62,558.80,815.62,2.05,8,ok
20801,20802,321.55,277.95,321.55,0.90,7,ok
20802,20803,237.80,188.86,237.80,0.55,7,ok
20803,6065,63.75,76.56,63.75,0.15,7,ok
20804,6115,467.24,332.87,467.24,1.11,7,ok_undirected
20806,20092,2890.36,1719.90,1597.04,2.93,2,ok
20808,41703,300.70,294.09,260.33,0.55,4,ok
20809,5577,1572.27,1316.02,756.31,2.86,2,ok
2081,2082,177.34,159.61,177.34,0.61,9,ok
20811,35183,2347.24,2003.74,2304.84,2.40,2,ok
20811,51056,2348.63,1937.54,2271.37,2.42,2,ok
20812,20350,182.26,174.24,182.26,0.17,4,ok
20813,51065,3668.77,1398.10,3668.77,4.04,4,ok
20814,18728,341.64,332.23,0.00,0.31,4,no_coverage
20815,43120,666.94,337.05,666.94,1.56,2,ok
20816,20044,6405.56,3755.38,5058.97,9.36,2,ok
20816,4334,4461.24,1890.63,3083.04,7.53,2,ok
20819,18440,227.11,224.75,227.11,0.49,20,ok
2082,3653,163.46,142.14,163.46,0.49,9,ok
20822,50387,321.20,347.45,321.20,0.63,29,ok
20823,44561,173.96,148.64,173.96,0.34,10,ok
20824,20513,331.57,339.98,331.57,0.87,22,ok
20829,20830,572.44,459.85,572.44,1.13,3,ok
2083,2088,,562.82,,1.55,1,unreachable
2083,3940,379.86,409.37,379.86,0.89,116,ok
20830,7137,1099.98,837.59,527.54,2.28,3,ok
20832,5988,132.69,123.45,132.69,0.41,13,ok
20832,5989,132.69,193.32,132.69,0.41,8,ok
20833,20834,374.26,292.19,374.26,0.82,17,ok
20834,34250,504.30,487.69,504.30,1.01,17,ok
20835,20837,843.94,354.49,843.94,4.31,9,ok
20836,39197,329.79,242.86,329.79,0.81,10,ok
20837,20839,281.06,169.62,281.06,0.69,9,ok
20838,20845,446.87,260.70,332.16,1.66,10,ok
20839,20838,281.06,154.74,281.06,0.45,10,ok
2084,2079,579.62,468.49,579.62,1.25,58,ok
2084,3332,706.58,389.60,706.58,1.69,27,ok
2084,3649,720.16,431.84,720.16,1.55,9,ok
20840,19549,53.57,133.02,53.57,0.22,20,ok
20840,49602,13.58,39.86,13.58,0.06,8,ok
20840,5549,104.38,131.78,104.38,0.44,11,ok_undirected
20841,19553,306.55,288.46,306.55,0.61,40,ok
20841,19555,587.17,540.32,587.17,1.26,7,ok
20843,18099,261.72,264.41,261.72,0.49,92,ok_undirected
20843,7009,327.95,286.16,312.37,0.96,18,ok_undirected
20845,20836,397.07,133.46,214.60,0.81,10,ok
20848,20438,389.49,463.15,389.49,1.17,56,ok
20849,39145,413.48,365.09,413.48,1.00,43,ok
2085,1271,444.70,211.57,444.70,1.67,67,ok
2085,3984,462.74,246.22,462.74,1.69,14,ok
20850,18121,171.94,107.81,171.94,0.40,40,ok
20850,51615,330.02,257.89,330.02,0.55,11,ok
20851,20480,515.30,388.68,515.30,1.69,16,ok_undirected
20851,6117,356.09,235.54,356.09,1.00,6,ok_undirected
20852,20376,441.44,118.91,441.44,1.19,11,ok
20853,19724,882.44,824.88,882.44,1.16,22,ok
20854,19570,937.73,1007.71,937.73,0.75,28,ok_undirected
20854,3802,,14431.91,,33.12,1,unreachable
20855,19710,672.84,566.93,672.84,1.86,29,ok
20855,38553,480.17,471.80,480.17,1.61,22,ok
20856,19523,2424.51,2206.28,2424.51,4.03,2,ok
20856,19845,478.55,379.15,478.55,0.75,32,ok_undirected
2086,2087,288.42,266.25,288.42,0.65,42,ok
20864,20871,388.47,230.30,388.47,0.96,16,ok
20864,34282,390.33,186.98,390.33,0.92,6,ok
20868,20138,1172.75,959.82,132.84,2.63,1,ok
20868,20869,0.00,78.21,0.00,0.53,18,no_coverage
20869,20450,306.78,306.48,306.78,0.85,19,ok
2087,17499,919.87,807.52,908.01,1.35,19,ok
2087,2095,235.49,188.13,235.49,0.89,12,ok
2087,36099,2654.50,1322.84,2654.50,4.19,11,ok
20870,4231,108.92,170.10,108.92,0.29,19,ok
20871,4234,129.29,195.95,129.29,0.34,19,ok
20872,19679,208.57,198.12,208.57,0.56,1,ok_undirected
20872,19792,1101.89,532.08,1101.89,3.24,1,ok
20872,20283,52.57,31.91,52.57,0.12,1,ok
20872,20832,286.23,250.98,286.23,0.74,1,ok
20873,20874,1532.89,875.39,1273.45,1.52,2,ok
20874,17675,1669.34,1063.34,1669.34,2.04,2,ok
20874,35343,2145.60,1092.25,1957.64,2.62,2,ok
20876,20541,292.60,264.13,292.60,0.80,17,ok
20876,20628,197.83,181.75,197.83,0.41,8,ok
20876,49695,91.60,92.51,91.60,0.26,10,ok
20878,18918,430.63,466.03,430.63,0.89,16,ok
20878,20792,636.27,420.33,636.27,1.49,3,ok
20878,44025,265.63,202.17,265.63,0.42,2,ok
2088,1283,,210.00,,0.54,100,unreachable
2088,2771,,672.37,,2.33,10,unreachable
2088,3164,,482.25,,1.25,5,unreachable
20881,17650,241.22,204.01,241.22,0.57,10,ok_undirected
20881,6389,531.19,370.11,531.19,1.07,17,ok
20883,6391,397.89,263.26,397.89,0.62,15,ok
20887,4268,202.45,209.59,0.00,0.82,13,no_coverage
20888,19095,748.90,676.15,748.90,1.01,16,ok
2089,2086,219.81,118.86,219.81,0.49,42,ok_undirected
20890,19270,708.96,377.20,708.96,1.48,15,ok
20891,19147,1594.13,1327.26,1594.13,2.07,8,ok
20891,20900,2881.05,2518.20,2881.05,3.75,3,ok
20891,6257,1594.13,1334.12,1594.13,2.07,5,ok
20892,19134,1059.65,967.07,1059.65,1.51,15,ok
20893,20894,548.57,362.66,548.57,0.95,13,ok
20893,21304,3584.08,3469.04,3569.16,3.87,1,ok_undirected
20893,43054,6390.48,6062.69,6390.48,5.03,2,ok
20894,51322,550.12,482.46,550.12,1.23,23,ok
20896,39893,216.81,222.65,0.00,0.19,7,no_coverage
20896,5525,257.61,205.05,0.00,0.27,8,no_coverage
20897,39914,203.61,215.49,0.00,0.38,15,no_coverage
20898,20896,328.47,262.03,0.00,0.91,15,no_coverage
2090,2092,332.09,264.69,332.09,0.98,177,ok
2090,2103,523.01,331.27,523.01,1.34,3,ok
20900,20904,401.43,485.57,401.43,0.80,24,ok
20900,35348,2753.72,2511.32,362.93,5.43,1,ok
20903,17696,561.26,502.24,561.26,0.98,11,ok
20903,5529,560.04,473.34,457.28,0.93,8,ok
20904,51310,225.70,255.53,225.70,0.42,24,ok
20906,51304,199.92,211.37,199.92,0.37,23,ok
20907,5532,541.28,523.85,541.28,1.00,21,ok
20908,19155,286.21,260.34,286.21,0.62,13,ok
20908,20914,557.70,429.88,557.70,1.22,9,ok
2091,1296,,6341.81,,16.12,2,unreachable
2091,2084,198.11,225.31,198.11,0.68,75,ok_undirected
2091,2085,593.51,261.88,593.51,1.88,73,ok
2091,2089,224.94,183.10,224.94,0.65,31,ok_undirected
20911,19154,166.57,197.08,166.57,1.00,8,ok
20911,19155,166.57,187.79,166.57,1.00,8,ok
20912,19178,3048.98,2282.68,3048.98,3.80,13,ok
20912,4199,3891.59,2710.24,3891.59,6.16,7,ok
20913,20920,2205.41,1461.71,2196.40,3.25,12,ok
20914,20915,206.13,206.87,163.66,0.26,9,ok
20914,6266,244.48,205.79,0.00,0.96,5,no_coverage
20915,20918,255.75,245.37,255.75,0.23,10,ok
20916,20911,336.62,329.86,58.36,2.05,8,ok
20916,6266,476.19,380.91,0.00,1.25,2,no_coverage
20917,18912,9570.45,9132.91,9570.45,7.86,16,ok
20917,20207,3290.50,3226.59,3290.50,3.33,11,ok
20917,20893,3428.62,3291.06,3413.70,3.52,2,ok
20917,4173,10653.36,9978.65,10653.36,8.94,1,ok
20917,43054,9598.88,9204.78,9598.88,7.89,16,ok
20918,20916,230.18,211.40,0.00,0.77,10,no_coverage
2092,2093,130.18,130.05,130.18,0.42,65,ok
2092,3108,200.15,195.21,200.15,0.64,114,ok
2092,3507,599.93,446.17,599.93,1.39,1,ok
20920,17829,1889.66,1323.69,1889.66,3.61,6,ok
20920,19168,2137.21,1039.81,2137.21,4.22,11,ok
20920,20604,1043.67,550.05,1043.67,1.80,3,ok
20924,21305,599.70,566.74,599.70,0.39,8,ok
20927,19182,363.76,342.18,363.76,1.07,14,ok
20928,20929,204.70,212.16,204.70,0.80,11,ok
20929,19060,154.89,114.16,154.89,0.59,11,ok
2093,2136,4198.44,2444.54,4190.68,9.20,1,ok
2093,2444,4007.80,2082.87,4007.80,7.39,1,ok
2093,3322,3945.24,1487.34,3945.24,7.18,2,ok
2093,3507,469.75,370.49,469.75,0.97,59,ok
2093,3791,158.28,165.12,158.28,0.49,15,ok
2093,38805,3745.71,2172.75,3745.71,6.42,3,ok
20930,18628,215.34,221.95,215.34,0.61,13,ok
20932,18621,95.84,134.91,95.84,0.23,14,ok
20933,21285,497.96,601.62,497.96,0.69,16,ok
20933,7122,5761.71,3787.94,5761.71,5.10,1,ok
20934,17812,120.45,146.84,120.45,0.36,12,ok
20935,17817,100.47,119.21,100.47,0.31,14,ok
20936,20934,141.87,119.80,141.87,0.53,12,ok
20937,20943,232.94,186.20,232.94,0.77,13,ok
20939,20935,261.35,180.60,261.35,0.91,14,ok
2094,2617,243.53,222.32,243.53,0.48,52,ok
20940,20939,190.82,180.28,190.82,0.70,14,ok
20941,6214,85.76,118.83,85.76,0.42,13,ok
20942,17809,236.31,274.40,236.31,0.71,12,ok
20943,20940,237.44,177.16,237.44,0.78,1,ok
20943,38201,329.85,267.72,329.85,0.98,12,ok
20944,20941,276.75,240.81,276.75,0.99,13,ok
20945,20946,333.84,238.74,333.84,0.85,63,ok_undirected
20945,20957,1788.27,825.58,1788.27,4.38,2,ok_undirected
20945,21288,127.55,138.84,127.55,0.34,7,ok_undirected
20946,20957,1455.93,606.44,1455.93,3.47,63,ok_undirected
20947,17822,207.56,219.21,207.56,0.62,20,ok
20948,17806,169.89,89.42,169.89,0.65,19,ok
20949,6052,1348.16,1143.53,1348.16,2.33,14,ok
2095,2096,179.77,218.51,179.77,0.58,26,ok
20950,51200,350.36,367.44,0.00,1.90,7,no_coverage
20952,38184,286.59,216.68,286.59,1.14,19,ok
20953,20970,466.41,347.77,466.41,2.74,8,ok
20954,21288,632.58,632.71,632.58,1.47,90,ok
20955,6207,82.29,80.08,82.29,0.22,7,ok
20956,6208,134.06,100.33,134.06,0.46,13,ok
20957,20981,499.39,370.23,369.39,1.96,65,ok
20958,20917,6335.23,5950.65,6335.23,6.61,1,ok
20958,4218,2088.18,2110.02,2088.18,1.67,23,ok
20959,20967,483.25,428.50,483.25,1.56,29,ok
2096,3311,164.55,150.93,164.55,0.53,26,ok
20960,20969,0.00,113.65,0.00,0.63,25,no_coverage
20961,6221,135.51,118.71,135.51,0.37,8,ok
20962,19401,488.80,392.02,488.80,1.22,16,ok
20962,20949,308.29,306.39,308.29,0.57,14,ok
20963,21017,814.47,753.62,814.47,1.04,10,ok_undirected
20963,41683,926.87,816.43,926.87,1.30,9,ok
20964,20960,367.52,321.56,367.52,1.14,25,ok
20965,20956,140.11,108.32,140.11,0.44,13,ok
20966,20950,416.29,391.31,157.20,1.08,7,ok
20967,51231,176.36,177.78,176.36,0.48,29,ok
20968,20959,246.73,230.31,246.73,0.86,29,ok
20969,20973,218.19,142.47,218.19,0.57,25,ok
2097,2098,123.59,143.43,123.59,0.32,27,ok
20970,20990,387.99,290.35,387.99,1.05,8,ok
20971,21148,4070.43,3721.98,3006.24,5.26,7,ok
20972,20962,123.71,146.16,123.71,0.27,30,ok
20973,6229,222.21,160.39,222.21,0.70,25,ok
20975,6220,106.58,99.07,106.58,0.43,21,ok
20976,6217,264.31,199.29,264.31,1.16,21,ok
20977,48416,622.73,214.38,622.73,2.01,9,ok
20977,6225,599.59,168.18,599.59,1.93,18,ok
20977,6226,708.45,593.32,708.45,2.17,2,ok
20978,20993,242.59,210.27,242.59,0.70,7,ok
20979,19435,218.19,254.66,218.19,0.55,26,ok
2098,17499,1041.61,599.50,1029.75,1.95,14,ok
2098,2094,271.65,229.05,271.65,0.92,13,ok
20981,18238,244.50,220.74,244.50,0.62,76,ok_undirected
20981,18264,153.31,120.95,153.31,0.40,2,ok_undirected
20984,20968,317.35,184.33,317.35,1.04,6,ok
20986,20976,179.01,134.73,179.01,0.50,8,ok
20986,5019,895.57,732.26,895.57,1.90,14,ok
20987,20996,384.71,332.02,384.71,1.27,8,ok
20987,6223,209.67,99.16,209.67,0.60,18,ok
20988,20991,207.19,184.55,207.19,0.69,9,ok
20988,43892,0.00,52.74,0.00,0.28,15,no_coverage
20989,18290,387.99,276.13,387.99,1.12,8,ok
20989,6227,194.25,243.41,194.25,0.61,17,ok
2099,2101,75.18,65.80,75.18,0.28,38,ok
20990,18338,359.73,341.34,359.73,0.99,18,ok
20990,20997,97.10,113.51,97.10,0.28,8,ok
20991,6222,142.26,143.06,142.26,0.40,9,ok
20992,18235,405.65,44.57,405.65,1.09,6,ok
20993,20999,169.39,158.96,169.39,0.62,7,ok
20994,20987,190.26,40.16,190.26,0.65,26,ok
20995,6231,180.17,119.90,180.17,0.72,9,ok
20996,18338,318.68,279.94,318.68,0.88,8,ok
20996,20989,187.31,145.53,187.31,0.48,8,ok
20997,20982,328.91,275.04,141.62,1.28,2,ok
20997,20988,451.37,347.13,451.37,1.54,7,ok
20997,6223,392.53,386.68,392.53,1.29,8,ok
20998,20994,484.43,158.92,484.43,1.66,26,ok
20999,6226,296.47,263.76,296.47,0.85,33,ok
2100,3312,304.28,148.32,304.28,0.83,27,ok
21000,19365,304.36,288.74,304.36,0.87,6,ok
21001,18300,180.24,177.04,180.24,0.61,13,ok
21002,19399,792.02,319.11,792.02,2.49,8,ok_undirected
21002,51282,889.52,448.92,889.52,2.58,7,ok
21002,6225,405.44,203.62,405.44,1.39,18,ok
21003,48416,568.73,482.28,568.73,1.88,6,ok
21004,6141,214.02,156.19,214.02,0.58,13,ok
21006,19399,787.83,607.42,787.83,2.33,3,ok
21006,19414,275.61,221.38,275.61,0.77,36,ok
21009,19396,196.30,188.33,196.30,0.52,83,ok_undirected
21009,21013,158.58,134.55,158.58,0.53,20,ok_undirected
2101,3793,3789.87,154.52,3789.87,8.81,40,ok
21010,21009,480.37,318.18,480.37,1.44,7,ok
21011,6205,187.99,47.82,187.99,0.50,7,ok
21012,6233,556.84,91.77,556.84,1.68,7,ok
21013,18284,398.87,237.33,398.87,0.98,26,ok
21013,19434,710.80,403.48,710.80,1.89,11,ok
21013,21000,524.31,291.80,524.31,1.41,6,ok
21013,21025,418.28,238.97,418.28,1.01,20,ok
21013,35578,429.83,179.19,429.83,0.92,7,ok
21014,21033,406.21,262.89,406.21,1.41,7,ok
21015,18248,130.90,139.05,130.90,0.21,10,ok
21015,21017,144.50,95.64,144.50,0.25,11,ok_undirected
21017,21054,1022.94,791.75,1022.94,2.49,21,ok
21018,35578,442.35,237.35,442.35,1.02,7,ok
21018,4193,622.80,282.13,622.80,1.98,28,ok
21019,18339,337.27,248.96,337.27,0.95,2,ok
21019,20997,508.31,442.94,508.31,1.28,8,ok
21019,21006,232.26,192.36,232.26,0.59,18,ok
2102,3811,95.22,137.15,95.22,0.41,39,ok
21020,21031,180.13,159.76,180.13,0.62,17,ok
21021,6245,49.85,61.59,49.85,0.16,7,ok
21022,18303,424.28,359.41,424.28,1.23,1,ok
21022,4259,149.26,125.40,149.26,0.46,9,ok
21023,6238,482.45,326.86,482.45,0.98,7,ok
21025,19434,292.52,171.28,292.52,0.89,20,ok
21026,38742,319.50,277.54,319.50,1.01,20,ok
21027,4968,1262.87,1026.23,1262.87,2.49,19,ok
21029,18570,266.20,293.68,266.20,0.45,56,ok
2103,17198,48.44,92.96,48.44,0.17,6,ok
21030,19306,230.57,182.84,230.57,0.75,23,ok
21031,21044,276.43,334.17,276.43,0.98,17,ok
21032,21040,117.14,255.35,117.14,0.37,18,ok
21033,21030,313.91,138.57,313.91,1.09,7,ok
21036,6239,264.51,181.30,264.51,0.80,7,ok
21037,4857,208.29,196.41,208.29,0.53,146,ok
21038,6241,77.19,111.79,77.19,0.17,7,ok
21039,21022,636.71,367.15,474.76,1.67,10,ok
2104,17322,409.96,216.42,409.96,1.18,6,ok
21040,21039,504.99,169.86,389.36,1.76,1,ok
21040,21050,309.77,227.47,309.77,1.05,9,ok
21040,21059,276.56,265.68,276.56,0.97,8,ok
21041,6203,375.69,345.62,375.69,1.02,21,ok
21042,21030,297.35,242.99,297.35,0.93,15,ok
21044,21058,279.80,235.72,279.80,1.01,10,ok
21044,5208,271.98,126.68,271.98,0.95,7,ok
21045,18347,199.91,234.29,199.91,0.65,14,ok
21047,21039,9.38,32.38,0.00,1.18,1,no_coverage
21048,19359,349.90,371.43,349.90,0.85,35,ok
21048,4208,778.92,680.60,778.92,2.17,2,ok
21049,4261,267.22,156.03,267.22,0.84,29,ok
21049,4655,363.00,285.31,363.00,1.21,9,ok_undirected
2105,2090,217.62,212.07,206.68,24.53,6,ok
21050,4260,186.87,213.98,186.87,0.55,23,ok
21051,18583,1416.12,717.52,1219.15,2.61,6,ok
21051,4989,304.04,236.35,304.04,0.92,8,ok
21054,21068,467.65,378.49,467.65,1.60,21,ok_undirected
21055,21042,279.80,226.56,279.80,0.83,8,ok
21056,18579,440.00,276.39,440.00,0.90,57,ok
21056,4987,548.95,333.72,548.95,1.25,8,ok
21057,21041,259.82,259.31,259.82,1.35,21,ok
21058,21063,208.57,143.99,208.57,0.77,10,ok
21059,21069,266.12,264.67,266.12,0.79,21,ok
2106,3790,429.57,228.00,429.57,1.22,28,ok
2106,3939,552.28,488.59,552.28,1.63,1,ok
21061,21048,281.86,147.14,281.86,0.97,27,ok
21061,4479,415.77,186.68,415.77,1.18,25,ok_undirected
21061,4655,424.06,291.03,424.06,1.50,40,ok_undirected
21061,5143,419.91,313.66,419.91,1.47,9,ok
21062,4806,301.98,237.45,301.98,0.72,161,ok_undirected
21063,21069,184.63,232.34,184.63,0.78,10,ok
21064,5207,259.95,175.40,259.95,0.70,14,ok
21064,6251,218.26,140.55,218.26,0.65,8,ok
21065,18312,938.51,230.46,938.51,3.88,12,ok
21068,21077,578.63,372.49,578.63,2.25,21,ok
21069,21074,549.42,150.42,549.42,1.76,1,ok
21069,4160,401.90,324.49,401.90,1.40,6,ok
21069,4166,629.28,551.57,629.28,1.98,38,ok
2107,3883,256.42,280.18,256.42,0.60,36,ok
21070,18203,339.73,315.29,339.73,1.19,23,ok
21070,21064,80.62,114.79,80.62,0.27,22,ok
21072,21065,429.45,194.96,399.03,1.31,12,ok
21073,18563,436.83,95.67,223.35,0.76,6,ok
21073,18583,255.67,229.25,255.67,0.43,65,ok_undirected
21073,43530,752.25,350.62,469.70,1.66,7,ok
21073,43532,260.98,105.59,244.47,0.46,7,ok
21074,19517,720.51,692.06,720.51,1.75,11,ok_undirected
21074,21072,221.65,218.57,221.65,1.49,12,ok
21074,21078,324.76,265.21,324.76,1.82,4,ok
21077,4160,231.86,163.24,231.86,0.82,2,ok
21077,4166,459.24,449.15,459.24,1.40,25,ok
21078,18906,0.00,36.93,0.00,0.00,4,no_coverage
2108,2109,163.63,174.59,163.63,0.52,36,ok
21080,21070,503.78,398.12,503.78,1.71,37,ok
21080,21074,461.70,391.33,461.70,1.47,25,ok
21080,4160,166.59,152.36,166.59,0.59,59,ok
21081,5169,405.52,301.84,405.52,0.93,9,ok
21082,36841,699.62,533.94,699.62,2.33,10,ok
21083,4676,201.36,193.91,201.36,0.50,93,ok_undirected
21083,4975,174.74,208.89,174.74,0.46,10,ok
21084,18908,280.60,249.64,280.60,1.09,6,ok
21085,18542,409.12,405.44,409.12,0.54,50,ok
21086,18368,306.45,282.50,306.45,0.89,31,ok
21086,21097,547.92,406.05,547.92,1.25,19,ok
21087,21095,262.39,226.51,262.39,0.57,21,ok
21088,4840,382.49,282.69,382.49,0.81,18,ok_undirected
2109,1957,197.16,155.59,197.16,0.71,1,ok
2109,1960,444.31,447.10,444.31,1.03,8,ok
2109,2428,211.00,215.83,211.00,0.72,27,ok
21090,19392,1331.30,390.78,1331.30,3.64,13,ok
21090,21085,1188.27,365.89,1188.27,2.65,3,ok
21092,18532,419.86,394.68,419.86,1.26,5,ok_undirected
21092,4665,650.56,396.98,650.56,1.62,101,ok
21092,4675,599.48,362.63,599.48,1.61,44,ok
21093,21088,537.27,408.17,537.27,1.09,18,ok
21095,18425,492.14,465.98,492.14,1.17,12,ok
21095,35836,839.35,247.00,839.35,2.24,7,ok
21095,4924,1243.58,858.24,1243.58,2.65,4,ok
21096,18479,284.47,218.74,284.47,0.74,37,ok
21097,18199,497.37,374.55,497.37,0.97,114,ok_undirected
21097,43910,174.01,136.33,174.01,0.38,20,ok
21099,18478,309.97,269.17,309.97,0.69,19,ok
21099,21096,384.45,131.52,384.45,0.97,37,ok
2110,2111,550.18,409.29,550.18,1.16,9,ok
21100,19392,1049.86,582.42,1049.86,2.98,1,ok
21100,21090,452.19,196.51,452.19,1.02,16,ok_undirected
21102,21112,381.26,356.37,0.00,0.83,4,no_coverage
21103,19422,239.09,226.63,239.09,0.62,41,ok
