stop_a,stop_b,routed_m,straight_m,covered_m,observed_min,n_trips,flag
1077,44095,687.84,510.27,687.84,1.71,29,ok
1077,44100,775.95,487.78,775.95,2.05,7,ok
1077,44101,775.95,487.78,775.95,2.05,30,ok
1081,1071,485.73,390.78,485.73,0.82,32,ok
1081,1082,348.30,302.60,348.30,0.66,15,ok_undirected
1082,2580,626.18,473.86,626.18,1.07,45,ok
1086,1091,252.03,265.03,252.03,0.55,14,ok
1087,1095,335.12,325.31,335.12,0.60,14,ok
1090,1125,1073.25,1044.70,989.02,1.18,41,ok_undirected
1090,3216,974.32,920.29,918.54,0.96,2,ok_undirected
1091,44358,768.21,813.39,768.21,1.43,14,ok
1092,1071,738.88,470.36,726.05,1.40,29,ok
1092,3331,536.32,460.97,523.50,0.97,20,ok
1092,4134,1583.33,977.02,1570.50,3.34,4,ok
1095,1086,685.12,681.89,685.12,1.28,14,ok
1097,1077,608.40,355.73,608.40,1.91,114,ok
1097,17203,446.30,262.86,446.30,1.35,6,ok_undirected
1097,38700,133.31,170.79,0.00,2.02,6,no_coverage
1097,44100,1384.35,819.69,1384.35,3.96,1,ok
1098,38659,4821.71,2786.25,4821.71,5.76,32,ok
1098,50804,2983.60,2717.36,2983.60,3.39,3,ok
1099,3000,936.21,583.65,936.21,2.01,32,ok
1099,42581,1319.18,569.24,1307.63,3.41,31,ok
1107,3491,2200.79,596.88,2200.79,6.62,64,ok
1107,38923,2461.09,547.39,2461.09,7.29,7,ok
1109,1077,590.28,611.41,590.28,1.85,15,ok
1109,1097,250.71,255.86,250.71,0.81,94,ok_undirected
1109,1107,1262.70,477.24,983.82,4.26,48,ok
1110,1131,1971.71,1916.48,1971.71,2.80,5,ok
1111,1081,890.58,915.51,890.58,1.08,42,ok
1115,1132,2859.36,268.98,1842.33,7.04,37,ok
1124,1109,317.44,238.96,317.44,1.03,76,ok
1124,47885,758.72,362.45,758.72,2.34,16,ok
1124,47973,758.72,362.45,758.72,2.34,2,ok
1124,47975,758.72,362.45,758.72,2.34,16,ok
1124,48060,758.72,362.45,758.72,2.34,21,ok
1124,48340,613.33,433.96,613.33,2.07,35,ok
1125,1165,1990.22,1810.32,1990.22,2.40,30,ok
1125,1166,1980.37,1707.49,1980.37,2.26,4,ok
1125,1217,7905.64,7756.93,7905.64,10.68,1,ok_undirected
1125,44364,2032.59,1736.57,2032.59,2.94,7,ok
1126,1128,89.65,152.66,89.65,0.32,32,ok
1128,1115,,291.37,,1.30,37,unreachable
1131,42994,39.86,110.91,39.86,0.15,5,ok
1132,41518,759.33,390.68,759.33,2.07,25,ok
1133,42991,182.06,142.44,182.06,0.96,11,ok
1134,2838,176.04,226.98,176.04,0.62,11,ok
1134,2945,219.54,178.05,219.54,0.65,9,ok
1140,4027,156.76,146.07,156.76,0.67,17,ok
1141,1144,293.94,277.93,293.94,0.85,131,ok
1143,1153,341.99,234.19,341.99,1.36,6,ok
1143,41523,244.18,266.09,244.18,1.01,11,ok
1144,1170,245.61,182.94,245.61,0.69,179,ok
1144,1191,496.74,439.76,496.74,1.34,1,ok
1144,42619,493.32,373.20,493.32,1.56,2,ok
1145,4028,152.53,166.18,152.53,0.41,10,ok
1148,4031,274.23,215.86,274.23,0.66,2,ok_undirected
1148,4045,307.95,280.43,307.95,0.80,5,ok_undirected
1149,1153,218.55,197.30,218.55,0.75,2,ok
1152,1148,261.14,224.23,261.14,0.85,7,ok_undirected
1152,4028,281.98,256.50,281.98,0.79,50,ok
1153,1162,403.43,413.66,403.43,1.17,14,ok
1154,1111,2103.65,1826.67,2103.65,3.47,40,ok
1155,1152,277.17,286.46,277.17,0.93,57,ok_undirected
1155,1162,224.26,197.78,224.26,0.67,11,ok
1158,39221,194.70,116.10,194.70,0.58,45,ok_undirected
1162,41518,532.83,199.02,532.83,1.73,25,ok
1163,1155,315.86,180.71,315.86,0.83,68,ok
1165,1208,2512.05,2309.64,2512.05,2.85,16,ok
1165,1642,2352.34,2353.59,2352.34,2.35,19,ok
1166,1259,2155.42,2169.37,2155.42,2.30,9,ok
1166,43455,2283.64,2112.40,2283.64,2.71,8,ok
1167,1190,265.83,271.66,125.08,0.71,2,ok
1168,1669,658.21,280.37,658.21,1.70,58,ok
1168,47885,1305.15,672.32,1305.15,4.32,13,ok
1168,47973,1305.15,672.32,1305.15,4.32,6,ok
1168,47975,1305.15,672.32,1305.15,4.32,12,ok
1168,48060,1305.15,672.32,1305.15,4.32,14,ok
1169,1124,1350.84,644.91,1350.84,4.34,2,ok
1169,17271,850.29,381.63,850.29,2.56,196,ok
1169,48351,1663.52,797.16,1663.52,4.68,8,ok
1170,1184,504.79,376.83,504.79,1.34,13,ok
1170,1191,251.12,258.94,251.12,0.65,130,ok
1170,1207,570.30,537.37,570.30,1.28,41,ok
1173,1643,651.57,461.09,651.57,2.00,6,ok
1176,1177,258.71,287.10,258.71,0.72,6,ok
1176,1178,153.94,154.31,153.94,0.41,44,ok_undirected
1176,41514,295.39,195.53,295.39,0.66,12,ok
1177,1179,175.07,101.91,175.07,0.51,9,ok
1177,46628,352.49,364.13,352.49,1.03,8,ok
1178,1177,232.37,132.80,232.37,0.61,11,ok_undirected
1178,1179,252.54,211.55,252.54,0.69,33,ok_undirected
1179,1194,221.91,209.90,221.91,0.56,65,ok
1180,17272,237.71,173.05,237.71,0.80,35,ok
1183,1149,688.24,379.35,688.24,1.74,2,ok
1184,1168,367.29,269.44,367.29,0.89,103,ok
1184,1173,187.35,104.12,187.35,0.80,6,ok_undirected
1184,1195,175.40,143.35,175.40,0.55,37,ok
1184,1207,768.55,385.99,768.55,2.80,13,ok
1184,1643,662.43,544.04,662.43,1.76,1,ok
1186,1183,267.63,200.89,267.63,1.04,2,ok
1186,4033,289.35,208.92,289.35,0.62,6,ok
1187,1188,270.08,314.76,270.08,0.80,123,ok
1187,1207,561.94,374.99,561.94,1.35,14,ok
1187,2656,355.50,368.51,355.50,1.09,5,ok
1188,1169,258.23,167.89,258.23,0.67,144,ok_undirected
1190,1225,668.00,598.62,668.00,1.69,2,ok
1190,1227,653.98,654.44,653.98,1.67,13,ok
1191,1184,253.67,218.85,253.67,0.69,139,ok
1192,1205,361.79,256.67,361.79,1.12,2,ok
1192,1209,581.15,253.11,564.77,1.95,23,ok
1194,1198,350.39,266.29,350.39,0.96,65,ok
1195,1207,593.15,382.23,593.15,2.24,2,ok
1195,16950,315.67,270.99,315.67,1.01,21,ok
1195,42586,413.24,266.85,413.24,1.26,14,ok
1197,1169,783.03,370.89,774.47,2.26,62,ok
1197,1184,591.22,314.06,591.22,1.55,14,ok
1197,1188,330.45,203.01,330.45,0.84,13,ok
1197,1191,337.56,147.38,337.56,0.86,8,ok
1198,1192,268.58,164.00,268.58,0.78,25,ok
1198,17219,246.20,215.20,246.20,0.61,10,ok
1198,41513,389.49,323.85,389.49,1.02,30,ok
1200,1205,333.22,207.08,333.22,1.06,23,ok
1200,1209,552.58,267.98,536.21,1.89,2,ok
1202,1180,298.82,341.43,298.82,0.71,35,ok
1203,1559,803.40,713.21,803.40,1.00,3,ok
1203,1566,817.03,811.51,817.03,1.01,14,ok
1205,1202,283.52,190.20,283.52,0.79,35,ok
1207,1213,66.70,134.96,66.70,0.15,7,ok
1207,1223,384.03,422.77,384.03,0.66,60,ok
1207,1231,772.41,745.17,772.41,1.37,8,ok
1208,1176,773.24,509.26,773.24,1.95,12,ok
1208,1205,287.67,212.16,287.67,0.80,12,ok
1208,4029,845.19,849.54,845.19,2.31,4,ok
1209,1641,150.32,132.38,150.32,0.39,21,ok_undirected
1209,1642,155.66,168.25,155.66,0.40,2,ok_undirected
