o,o_name,d,d_name,bus_ivt_observed_min,bus_ivt_scheduled_min,bus_trips_0609,bus_share_observed,brt_ivt_observed_min,brt_ivt_scheduled_min,brt_trips_0609,step29_scheduled_min
101,TsurShalom,302,KiryatYam A,7.822,6.983,114,0.989,7.073,6.983,34.000,6.980
101,TsurShalom,303,KiryatYam B+C,12.733,11.233,124,0.993,9.605,9.983,34.000,11.230
101,TsurShalom,304,KiryatHaim West,22.423,19.467,85,0.986,13.013,13.317,33.000,19.470
102,Kiryon,101,TsurShalom,5.016,4.317,184,0.993,3.008,4.467,50.000,4.320
102,Kiryon,103,KiryatBialik Center,4.197,2.800,248,0.997,4.442,5.200,58.000,2.800
102,Kiryon,104,KiryatHaim,7.601,8.000,201,0.997,5.695,8.000,57.000,8.000
102,Kiryon,202,Matam-NeotPeres,30.646,37.950,44,0.988,30.646,37.950,44.000,37.950
102,Kiryon,203,HofCarmel-NeveDavid,46.617,53.583,21,0.983,46.617,53.583,21.000,53.580
102,Kiryon,204,Hecht-Shprintzak,45.115,52.000,21,0.982,45.115,52.000,21.000,52.000
102,Kiryon,205,EinHayam,42.851,50.000,21,0.982,42.851,50.000,21.000,50.000
102,Kiryon,206,BatGalim-KiryatEliezer,38.224,45.317,22,0.980,38.224,45.317,22.000,45.320
102,Kiryon,207,Hamoshava,36.480,43.350,22,0.980,36.480,43.350,22.000,43.350
102,Kiryon,208,LowerCity,30.628,39.000,23,0.978,30.628,39.000,23.000,39.000
102,Kiryon,209,Namal-Giborim,25.925,32.000,24,0.991,25.925,32.000,24.000,32.000
102,Kiryon,210,Hamifrats,18.160,17.000,136,0.997,18.160,26.000,51.000,17.000
102,Kiryon,211,Bazan-Hutsot,13.835,16.233,153,0.998,12.661,17.650,54.000,16.230
102,Kiryon,212,TsometKiryatAta,12.626,10.483,172,0.998,11.459,15.017,55.000,10.480
102,Kiryon,213,KiryatAta North,26.959,24.217,7,0.999,,,,24.220
102,Kiryon,214,KiryatAta North-East,9.442,9.317,15,0.999,,,,9.320
102,Kiryon,215,Shefaram,8.224,7.917,18,1.000,,,,7.920
102,Kiryon,216,Hamovil,16.556,16.750,9,1.000,,,,16.750
102,Kiryon,217,Nazareth,24.639,25.000,9,0.991,,,,25.000
102,Kiryon,301,SavyoneyYam,27.369,21.117,32,1.000,,,,21.120
102,Kiryon,302,KiryatYam A,15.519,12.167,34,1.000,,,,12.170
102,Kiryon,303,KiryatYam B+C,23.957,21.817,44,0.998,,,,21.820
102,Kiryon,304,KiryatHaim West,21.819,18.000,28,0.996,,,,18.000
103,KiryatBialik Center,101,TsurShalom,9.889,7.525,188,0.994,4.549,7.167,49.000,7.530
103,KiryatBialik Center,102,Kiryon,2.722,3.000,216,0.998,1.541,2.550,51.000,3.000
103,KiryatBialik Center,104,KiryatHaim,4.471,3.000,216,0.997,1.253,2.800,57.000,3.000
103,KiryatBialik Center,202,Matam-NeotPeres,26.204,32.750,44,0.988,26.204,32.750,44.000,32.750
103,KiryatBialik Center,203,HofCarmel-NeveDavid,42.174,48.383,21,0.982,42.174,48.383,21.000,48.380
103,KiryatBialik Center,204,Hecht-Shprintzak,40.673,46.800,21,0.981,40.673,46.800,21.000,46.800
103,KiryatBialik Center,205,EinHayam,38.409,44.800,21,0.982,38.409,44.800,21.000,44.800
103,KiryatBialik Center,206,BatGalim-KiryatEliezer,33.782,40.117,22,0.979,33.782,40.117,22.000,40.120
103,KiryatBialik Center,207,Hamoshava,32.037,38.150,22,0.978,32.037,38.150,22.000,38.150
103,KiryatBialik Center,208,LowerCity,26.186,33.800,23,0.976,26.186,33.800,23.000,33.800
103,KiryatBialik Center,209,Namal-Giborim,21.483,26.800,24,0.991,21.483,26.800,24.000,26.800
103,KiryatBialik Center,210,Hamifrats,15.892,15.150,137,0.998,13.718,20.800,51.000,15.150
103,KiryatBialik Center,211,Bazan-Hutsot,11.614,12.450,154,0.998,8.219,12.450,54.000,12.450
103,KiryatBialik Center,212,TsometKiryatAta,10.405,7.433,173,0.998,7.017,9.817,55.000,7.430
103,KiryatBialik Center,213,KiryatAta North,22.542,20.733,7,0.999,,,,20.730
103,KiryatBialik Center,214,KiryatAta North-East,32.776,31.000,13,0.999,,,,31.000
103,KiryatBialik Center,215,Shefaram,10.946,10.717,15,1.000,,,,10.720
103,KiryatBialik Center,216,Hamovil,18.427,18.358,8,1.000,,,,18.360
103,KiryatBialik Center,217,Nazareth,26.119,26.083,8,0.990,,,,26.080
103,KiryatBialik Center,301,SavyoneyYam,20.107,16.250,34,1.000,,,,16.250
103,KiryatBialik Center,302,KiryatYam A,11.103,9.383,36,0.999,,,,9.380
103,KiryatBialik Center,303,KiryatYam B+C,23.312,22.600,46,0.997,,,,22.600
103,KiryatBialik Center,304,KiryatHaim West,19.590,16.000,28,0.995,,,,16.000
104,KiryatHaim,101,TsurShalom,10.341,14.683,146,0.994,8.618,14.617,49.000,14.680
104,KiryatHaim,102,Kiryon,6.007,9.050,174,0.998,5.609,10.000,51.000,9.050
104,KiryatHaim,103,KiryatBialik Center,4.069,5.983,201,0.998,4.069,7.450,51.000,5.980
104,KiryatHaim,202,Matam-NeotPeres,24.951,29.950,45,0.987,24.951,29.950,45.000,29.950
104,KiryatHaim,203,HofCarmel-NeveDavid,40.922,45.583,22,0.981,40.922,45.583,22.000,45.580
104,KiryatHaim,204,Hecht-Shprintzak,39.420,44.000,22,0.981,39.420,44.000,22.000,44.000
104,KiryatHaim,205,EinHayam,37.156,42.000,22,0.981,37.156,42.000,22.000,42.000
104,KiryatHaim,206,BatGalim-KiryatEliezer,32.559,31.158,46,0.968,32.559,31.158,46.000,31.160
104,KiryatHaim,207,Hamoshava,30.815,29.375,46,0.967,30.815,29.375,46.000,29.380
104,KiryatHaim,208,LowerCity,24.964,25.850,48,0.963,24.964,25.850,48.000,25.850
104,KiryatHaim,209,Namal-Giborim,20.230,24.000,49,0.977,20.230,24.000,49.000,24.000
104,KiryatHaim,210,Hamifrats,12.465,10.567,166,0.991,12.465,18.000,77.000,10.570
104,KiryatHaim,211,Bazan-Hutsot,7.027,6.450,183,0.986,6.966,9.650,81.000,6.450
104,KiryatHaim,212,TsometKiryatAta,5.825,4.500,225,0.985,5.764,7.017,82.000,4.500
104,KiryatHaim,213,KiryatAta North,5.386,6.267,44,0.997,5.386,6.267,25.000,6.270
104,KiryatHaim,214,KiryatAta North-East,28.305,28.000,13,0.999,,,,28.000
104,KiryatHaim,215,Shefaram,14.231,13.550,15,1.000,,,,13.550
104,KiryatHaim,216,Hamovil,21.842,21.900,8,1.000,,,,21.900
104,KiryatHaim,217,Nazareth,29.664,29.983,8,0.991,,,,29.980
104,KiryatHaim,301,SavyoneyYam,24.903,23.133,9,1.000,,,,23.130
104,KiryatHaim,302,KiryatYam A,12.250,12.700,10,1.000,,,,12.700
104,KiryatHaim,303,KiryatYam B+C,14.562,14.150,22,0.979,,,,14.150
104,KiryatHaim,304,KiryatHaim West,6.523,4.550,34,0.972,,,,4.550
201,TiratCarmel,202,Matam-NeotPeres,22.607,10.733,84,0.993,,,,10.730
201,TiratCarmel,203,HofCarmel-NeveDavid,21.383,13.467,13,0.997,,,,13.470
201,TiratCarmel,204,Hecht-Shprintzak,24.563,16.983,13,0.997,,,,16.980
201,TiratCarmel,205,EinHayam,25.784,18.233,13,0.998,,,,18.230
201,TiratCarmel,209,Namal-Giborim,45.115,37.750,4,0.998,,,,37.750
202,Matam-NeotPeres,101,TsurShalom,31.707,41.600,43,0.999,31.707,41.600,43.000,41.600
202,Matam-NeotPeres,102,Kiryon,28.699,36.983,45,0.999,28.699,36.983,45.000,36.980
202,Matam-NeotPeres,103,KiryatBialik Center,27.158,34.433,45,0.999,27.158,34.433,45.000,34.430
202,Matam-NeotPeres,104,KiryatHaim,23.089,26.983,49,0.998,23.089,26.983,49.000,26.980
202,Matam-NeotPeres,201,TiratCarmel,7.185,6.100,78,0.986,,,,6.100
202,Matam-NeotPeres,203,HofCarmel-NeveDavid,5.890,5.017,132,0.997,5.198,5.017,30.000,5.020
202,Matam-NeotPeres,204,Hecht-Shprintzak,9.070,8.583,127,0.993,8.414,8.583,29.000,8.580
202,Matam-NeotPeres,205,EinHayam,9.009,8.983,98,0.993,9.007,8.983,29.000,8.980
202,Matam-NeotPeres,206,BatGalim-KiryatEliezer,15.706,15.983,70,0.993,10.704,10.983,29.000,15.980
202,Matam-NeotPeres,207,Hamoshava,23.360,21.983,75,0.997,15.941,15.983,28.000,21.980
202,Matam-NeotPeres,208,LowerCity,26.811,23.983,73,0.997,19.734,18.133,27.000,23.980
202,Matam-NeotPeres,209,Namal-Giborim,35.464,30.983,82,0.999,25.782,23.983,27.000,30.980
202,Matam-NeotPeres,210,Hamifrats,32.142,32.983,91,0.999,12.476,12.983,53.000,32.980
202,Matam-NeotPeres,211,Bazan-Hutsot,18.726,17.983,53,0.997,18.726,17.983,51.000,17.980
202,Matam-NeotPeres,212,TsometKiryatAta,22.072,24.983,51,0.997,22.072,24.983,49.000,24.980
203,HofCarmel-NeveDavid,101,TsurShalom,46.175,56.967,20,0.999,46.175,56.967,20.000,56.970
203,HofCarmel-NeveDavid,102,Kiryon,43.167,52.650,21,0.999,43.167,52.650,21.000,52.650
203,HofCarmel-NeveDavid,103,KiryatBialik Center,41.626,49.967,21,0.999,41.626,49.967,21.000,49.970
203,HofCarmel-NeveDavid,104,KiryatHaim,37.557,42.283,23,0.999,37.557,42.283,23.000,42.280
203,HofCarmel-NeveDavid,201,TiratCarmel,11.207,5.500,14,0.997,,,,5.500
203,HofCarmel-NeveDavid,202,Matam-NeotPeres,5.470,4.017,123,0.992,6.305,3.417,24.000,4.020
203,HofCarmel-NeveDavid,204,Hecht-Shprintzak,3.216,3.817,166,0.989,3.216,3.567,29.000,3.820
203,HofCarmel-NeveDavid,205,EinHayam,4.401,4.967,110,0.993,3.808,3.967,29.000,4.970
203,HofCarmel-NeveDavid,206,BatGalim-KiryatEliezer,11.098,11.967,99,0.838,5.505,5.967,29.000,11.970
203,HofCarmel-NeveDavid,207,Hamoshava,16.803,15.150,77,0.997,10.743,10.967,28.000,15.150
203,HofCarmel-NeveDavid,208,LowerCity,20.754,17.150,92,0.843,14.535,13.117,27.000,17.150
203,HofCarmel-NeveDavid,209,Namal-Giborim,23.731,24.283,58,0.999,20.583,18.967,27.000,24.280
203,HofCarmel-NeveDavid,210,Hamifrats,26.944,27.967,54,0.702,26.944,27.967,25.000,27.970
203,HofCarmel-NeveDavid,211,Bazan-Hutsot,33.194,33.450,32,0.778,33.194,33.450,24.000,33.450
203,HofCarmel-NeveDavid,212,TsometKiryatAta,36.539,40.250,23,0.999,36.539,40.250,23.000,40.250
203,HofCarmel-NeveDavid,303,KiryatYam B+C,30.362,30.500,10,0.000,,,,30.500
203,HofCarmel-NeveDavid,304,KiryatHaim West,27.180,27.500,8,0.000,,,,27.500
204,Hecht-Shprintzak,101,TsurShalom,42.959,53.400,20,0.999,42.959,53.400,20.000,53.400
204,Hecht-Shprintzak,102,Kiryon,39.951,49.083,21,0.999,39.951,49.083,21.000,49.080
204,Hecht-Shprintzak,103,KiryatBialik Center,38.410,46.400,21,0.999,38.410,46.400,21.000,46.400
204,Hecht-Shprintzak,104,KiryatHaim,34.341,38.717,23,0.999,34.341,38.717,23.000,38.720
204,Hecht-Shprintzak,201,TiratCarmel,12.587,7.033,14,0.995,,,,7.030
204,Hecht-Shprintzak,202,Matam-NeotPeres,8.125,5.667,123,0.992,7.806,5.000,24.000,5.670
204,Hecht-Shprintzak,203,HofCarmel-NeveDavid,3.192,1.650,155,0.995,1.502,1.583,25.000,1.650
204,Hecht-Shprintzak,205,EinHayam,1.221,1.250,131,1.000,0.593,0.400,29.000,1.250
204,Hecht-Shprintzak,206,BatGalim-KiryatEliezer,7.918,8.150,103,1.000,2.290,2.400,29.000,8.150
204,Hecht-Shprintzak,207,Hamoshava,15.572,16.150,92,0.998,7.527,7.400,28.000,16.150
204,Hecht-Shprintzak,208,LowerCity,19.024,18.150,90,0.999,11.320,9.550,27.000,18.150
204,Hecht-Shprintzak,209,Namal-Giborim,20.551,20.767,59,0.999,17.368,15.400,27.000,20.770
204,Hecht-Shprintzak,210,Hamifrats,23.728,24.400,41,0.999,23.728,24.400,25.000,24.400
204,Hecht-Shprintzak,211,Bazan-Hutsot,29.978,29.883,24,0.999,29.978,29.883,24.000,29.880
204,Hecht-Shprintzak,212,TsometKiryatAta,33.324,36.683,23,0.999,33.324,36.683,23.000,36.680
205,EinHayam,101,TsurShalom,42.366,53.000,20,0.999,42.366,53.000,20.000,53.000
205,EinHayam,102,Kiryon,39.358,48.683,21,0.999,39.358,48.683,21.000,48.680
205,EinHayam,103,KiryatBialik Center,37.817,46.000,21,0.999,37.817,46.000,21.000,46.000
205,EinHayam,104,KiryatHaim,33.749,38.317,23,0.999,33.749,38.317,23.000,38.320
205,EinHayam,201,TiratCarmel,14.851,9.033,14,0.992,,,,9.030
205,EinHayam,202,Matam-NeotPeres,10.070,7.333,98,0.988,10.070,7.000,24.000,7.330
205,EinHayam,203,HofCarmel-NeveDavid,3.765,3.583,112,0.987,3.765,3.583,25.000,3.580
205,EinHayam,204,Hecht-Shprintzak,2.264,2.000,131,0.985,2.264,2.000,25.000,2.000
205,EinHayam,206,BatGalim-KiryatEliezer,2.404,2.800,91,1.000,1.697,2.000,29.000,2.800
205,EinHayam,207,Hamoshava,6.934,7.000,80,0.997,6.934,7.000,28.000,7.000
205,EinHayam,208,LowerCity,10.727,9.150,78,0.998,10.727,9.150,27.000,9.150
205,EinHayam,209,Namal-Giborim,16.775,15.000,42,0.999,16.775,15.000,27.000,15.000
205,EinHayam,210,Hamifrats,23.135,24.000,25,0.999,23.135,24.000,25.000,24.000
205,EinHayam,211,Bazan-Hutsot,29.385,29.483,24,0.999,29.385,29.483,24.000,29.480
205,EinHayam,212,TsometKiryatAta,32.731,36.283,23,0.998,32.731,36.283,23.000,36.280
206,BatGalim-KiryatEliezer,101,TsurShalom,40.669,51.000,21,0.999,40.669,51.000,21.000,51.000
206,BatGalim-KiryatEliezer,102,Kiryon,37.661,46.683,22,0.999,37.661,46.683,22.000,46.680
206,BatGalim-KiryatEliezer,103,KiryatBialik Center,36.121,44.000,22,0.999,36.121,44.000,22.000,44.000
206,BatGalim-KiryatEliezer,104,KiryatHaim,32.052,36.317,46,0.998,32.052,36.317,46.000,36.320
206,BatGalim-KiryatEliezer,202,Matam-NeotPeres,16.592,17.667,71,0.989,14.698,11.683,24.000,17.670
206,BatGalim-KiryatEliezer,203,HofCarmel-NeveDavid,11.351,13.233,102,0.850,8.393,8.267,25.000,13.230
206,BatGalim-KiryatEliezer,204,Hecht-Shprintzak,9.838,10.650,104,0.991,6.891,6.683,25.000,10.650
206,BatGalim-KiryatEliezer,205,EinHayam,7.426,7.733,93,0.995,4.628,4.683,25.000,7.730
206,BatGalim-KiryatEliezer,207,Hamoshava,5.237,5.883,177,0.998,5.237,5.000,55.000,5.880
206,BatGalim-KiryatEliezer,208,LowerCity,9.030,8.183,144,0.941,9.030,7.150,54.000,8.180
206,BatGalim-KiryatEliezer,209,Namal-Giborim,15.215,14.233,82,0.999,15.078,13.000,53.000,14.230
206,BatGalim-KiryatEliezer,210,Hamifrats,21.507,22.667,80,0.843,21.438,22.000,50.000,22.670
206,BatGalim-KiryatEliezer,211,Bazan-Hutsot,27.757,28.183,66,0.901,27.689,27.483,48.000,28.180
206,BatGalim-KiryatEliezer,212,TsometKiryatAta,31.171,35.683,57,0.999,31.034,34.283,47.000,35.680
206,BatGalim-KiryatEliezer,213,KiryatAta North,37.575,43.983,22,0.999,37.575,43.983,22.000,43.980
206,BatGalim-KiryatEliezer,217,Nazareth,52.233,52.850,5,1.000,,,,52.850
206,BatGalim-KiryatEliezer,303,KiryatYam B+C,23.832,24.000,10,0.000,,,,24.000
206,BatGalim-KiryatEliezer,304,KiryatHaim West,20.650,21.000,8,0.000,,,,21.000
207,Hamoshava,101,TsurShalom,35.432,46.000,21,0.999,35.432,46.000,21.000,46.000
207,Hamoshava,102,Kiryon,32.424,41.683,22,0.999,32.424,41.683,22.000,41.680
207,Hamoshava,103,KiryatBialik Center,30.883,39.000,22,0.999,30.883,39.000,22.000,39.000
207,Hamoshava,104,KiryatHaim,26.814,31.317,46,0.998,26.814,31.317,46.000,31.320
207,Hamoshava,202,Matam-NeotPeres,17.442,19.000,76,0.989,16.442,13.650,24.000,19.000
207,Hamoshava,203,HofCarmel-NeveDavid,12.200,14.983,79,0.989,10.137,10.233,25.000,14.980
207,Hamoshava,204,Hecht-Shprintzak,10.820,13.333,91,0.991,8.636,8.650,25.000,13.330
207,Hamoshava,205,EinHayam,8.556,11.500,80,0.995,6.372,6.650,25.000,11.500
207,Hamoshava,206,BatGalim-KiryatEliezer,1.744,1.967,189,1.000,1.744,1.967,51.000,1.970
207,Hamoshava,208,LowerCity,3.792,2.150,150,0.994,3.792,2.150,54.000,2.150
207,Hamoshava,209,Namal-Giborim,9.841,8.000,74,0.998,9.841,8.000,53.000,8.000
207,Hamoshava,210,Hamifrats,16.201,17.350,60,0.998,16.201,17.000,50.000,17.350
207,Hamoshava,211,Bazan-Hutsot,22.451,22.900,58,0.999,22.451,22.483,48.000,22.900
207,Hamoshava,212,TsometKiryatAta,25.797,29.700,57,0.998,25.797,29.283,47.000,29.700
207,Hamoshava,213,KiryatAta North,32.200,38.000,22,0.998,32.200,38.000,22.000,38.000
207,Hamoshava,217,Nazareth,49.764,49.867,5,1.000,,,,49.870
208,LowerCity,101,TsurShalom,31.640,43.850,21,0.999,31.640,43.850,21.000,43.850
208,LowerCity,102,Kiryon,28.631,39.533,22,0.998,28.631,39.533,22.000,39.530
208,LowerCity,103,KiryatBialik Center,27.091,36.850,22,0.998,27.091,36.850,22.000,36.850
208,LowerCity,104,KiryatHaim,23.022,29.167,47,0.998,23.022,29.167,47.000,29.170
208,LowerCity,202,Matam-NeotPeres,22.293,21.533,75,0.990,22.293,18.000,23.000,21.530
208,LowerCity,203,HofCarmel-NeveDavid,15.989,14.583,95,0.809,15.989,14.583,24.000,14.580
208,LowerCity,204,Hecht-Shprintzak,14.487,15.917,89,0.992,14.487,13.000,24.000,15.920
208,LowerCity,205,EinHayam,12.223,13.000,77,0.996,12.223,11.000,24.000,13.000
208,LowerCity,206,BatGalim-KiryatEliezer,5.000,5.000,151,0.894,7.596,5.308,50.000,5.000
208,LowerCity,207,Hamoshava,3.824,2.700,159,1.000,5.851,3.525,50.000,2.700
208,LowerCity,209,Namal-Giborim,6.048,5.850,85,0.997,6.048,5.850,54.000,5.850
208,LowerCity,210,Hamifrats,12.409,14.850,65,0.813,12.409,14.850,51.000,14.850
208,LowerCity,211,Bazan-Hutsot,18.659,20.333,57,0.887,18.659,20.333,49.000,20.330
208,LowerCity,212,TsometKiryatAta,22.004,27.133,48,0.998,22.004,27.133,48.000,27.130
208,LowerCity,213,KiryatAta North,28.408,35.600,23,0.998,28.408,35.600,23.000,35.600
208,LowerCity,217,Nazareth,46.996,48.183,9,1.000,,,,48.180
208,LowerCity,303,KiryatYam B+C,19.832,20.000,10,0.000,,,,20.000
208,LowerCity,304,KiryatHaim West,16.650,17.000,8,0.000,,,,17.000
209,Namal-Giborim,101,TsurShalom,25.591,38.000,43,0.967,25.591,38.000,43.000,38.000
209,Namal-Giborim,102,Kiryon,22.583,33.683,23,0.999,22.583,33.683,23.000,33.680
209,Namal-Giborim,103,KiryatBialik Center,21.043,31.000,23,0.999,21.043,31.000,23.000,31.000
209,Namal-Giborim,104,KiryatHaim,16.974,23.317,48,0.999,16.974,23.317,48.000,23.320
209,Namal-Giborim,201,TiratCarmel,31.502,25.267,13,0.992,,,,25.270
209,Namal-Giborim,202,Matam-NeotPeres,29.301,28.000,105,0.971,26.997,25.000,23.000,28.000
209,Namal-Giborim,203,HofCarmel-NeveDavid,22.668,22.325,74,0.962,20.692,21.583,24.000,22.320
209,Namal-Giborim,204,Hecht-Shprintzak,19.190,20.000,74,0.955,19.190,20.000,24.000,20.000
209,Namal-Giborim,205,EinHayam,16.926,18.000,58,0.947,16.926,18.000,24.000,18.000
209,Namal-Giborim,206,BatGalim-KiryatEliezer,12.299,10.333,93,0.929,12.299,11.483,50.000,10.330
209,Namal-Giborim,207,Hamoshava,10.555,9.000,84,0.916,10.555,9.700,50.000,9.000
209,Namal-Giborim,208,LowerCity,4.703,5.350,94,0.859,4.703,6.175,52.000,5.350
209,Namal-Giborim,210,Hamifrats,6.360,9.000,133,1.000,6.360,9.100,82.000,9.000
209,Namal-Giborim,211,Bazan-Hutsot,12.611,14.650,81,0.998,12.611,14.650,79.000,14.650
209,Namal-Giborim,212,TsometKiryatAta,15.956,21.450,78,0.997,15.956,21.450,76.000,21.450
209,Namal-Giborim,213,KiryatAta North,22.360,29.750,23,0.999,22.360,29.750,23.000,29.750
209,Namal-Giborim,217,Nazareth,41.178,41.383,10,1.000,,,,41.380
209,Namal-Giborim,301,SavyoneyYam,43.621,52.000,23,0.957,43.621,52.000,23.000,52.000
209,Namal-Giborim,302,KiryatYam A,41.184,48.367,24,0.953,41.184,48.367,24.000,48.370
209,Namal-Giborim,303,KiryatYam B+C,37.726,44.367,25,0.947,37.726,44.367,25.000,44.370
209,Namal-Giborim,304,KiryatHaim West,33.887,39.000,26,0.999,33.887,39.000,26.000,39.000
210,Hamifrats,101,TsurShalom,21.211,28.617,100,0.980,19.231,29.000,67.000,28.620
210,Hamifrats,102,Kiryon,17.452,19.267,106,0.996,16.223,24.000,47.000,19.270
210,Hamifrats,103,KiryatBialik Center,14.812,16.583,110,0.995,14.682,21.450,47.000,16.580
210,Hamifrats,104,KiryatHaim,10.613,14.000,139,0.995,10.613,14.317,75.000,14.000
210,Hamifrats,202,Matam-NeotPeres,34.761,32.000,96,0.983,12.486,11.950,48.000,32.000
210,Hamifrats,203,HofCarmel-NeveDavid,28.456,27.583,56,0.664,28.456,27.583,23.000,27.580
210,Hamifrats,204,Hecht-Shprintzak,26.955,26.000,40,0.972,26.955,26.000,23.000,26.000
210,Hamifrats,205,EinHayam,24.691,24.000,23,0.969,24.691,24.000,23.000,24.000
210,Hamifrats,206,BatGalim-KiryatEliezer,20.064,19.317,92,0.783,20.064,17.158,48.000,19.320
210,Hamifrats,207,Hamoshava,18.319,17.350,68,0.959,18.319,15.375,48.000,17.350
210,Hamifrats,208,LowerCity,12.468,10.700,74,0.763,12.468,11.850,50.000,10.700
210,Hamifrats,209,Namal-Giborim,7.765,6.000,151,0.981,7.765,6.000,83.000,6.000
210,Hamifrats,211,Bazan-Hutsot,6.250,5.000,205,0.972,6.250,5.550,108.000,5.000
210,Hamifrats,212,TsometKiryatAta,9.596,12.000,196,0.992,9.596,12.350,104.000,12.000
210,Hamifrats,213,KiryatAta North,15.999,20.650,35,0.998,15.999,20.650,24.000,20.650
210,Hamifrats,214,KiryatAta North-East,27.555,25.983,15,0.979,,,,25.980
210,Hamifrats,215,Shefaram,25.758,26.050,35,0.990,,,,26.050
210,Hamifrats,216,Hamovil,24.799,25.333,26,1.000,,,,25.330
210,Hamifrats,217,Nazareth,36.976,35.542,34,0.991,,,,35.540
210,Hamifrats,301,SavyoneyYam,51.386,58.633,27,0.962,51.386,58.633,24.000,58.630
210,Hamifrats,302,KiryatYam A,48.949,55.000,28,0.959,48.949,55.000,25.000,55.000
210,Hamifrats,303,KiryatYam B+C,45.491,51.000,40,0.828,45.491,51.000,26.000,51.000
210,Hamifrats,304,KiryatHaim West,41.652,45.633,42,0.893,41.652,45.633,27.000,45.630
211,Bazan-Hutsot,101,TsurShalom,15.127,23.617,140,0.977,12.981,23.617,70.000,23.620
211,Bazan-Hutsot,102,Kiryon,10.718,14.483,123,0.994,9.973,19.000,49.000,14.480
211,Bazan-Hutsot,103,KiryatBialik Center,8.432,12.433,136,0.992,8.432,16.450,49.000,12.430
211,Bazan-Hutsot,104,KiryatHaim,4.363,7.050,157,0.991,4.363,8.833,78.000,7.050
211,Bazan-Hutsot,202,Matam-NeotPeres,40.260,39.350,59,0.985,17.985,20.300,47.000,39.350
211,Bazan-Hutsot,203,HofCarmel-NeveDavid,33.955,35.933,30,0.798,33.955,35.933,23.000,35.930
211,Bazan-Hutsot,204,Hecht-Shprintzak,32.454,34.350,23,0.976,32.454,34.350,23.000,34.350
211,Bazan-Hutsot,205,EinHayam,30.190,32.350,23,0.976,30.190,32.350,23.000,32.350
211,Bazan-Hutsot,206,BatGalim-KiryatEliezer,25.563,27.667,66,0.880,25.563,23.317,47.000,27.670
211,Bazan-Hutsot,207,Hamoshava,23.818,25.700,58,0.972,23.818,21.350,47.000,25.700
211,Bazan-Hutsot,208,LowerCity,17.967,16.517,57,0.870,17.967,17.000,49.000,16.520
211,Bazan-Hutsot,209,Namal-Giborim,13.264,14.350,93,0.988,13.264,14.350,81.000,14.350
211,Bazan-Hutsot,210,Hamifrats,4.279,4.567,259,0.974,5.499,8.350,111.000,4.570
211,Bazan-Hutsot,212,TsometKiryatAta,3.346,4.150,244,0.991,3.346,7.000,108.000,4.150
211,Bazan-Hutsot,213,KiryatAta North,14.141,15.100,59,0.992,9.749,15.100,25.000,15.100
211,Bazan-Hutsot,214,KiryatAta North-East,20.813,19.983,13,0.969,,,,19.980
211,Bazan-Hutsot,215,Shefaram,21.298,21.558,24,0.986,,,,21.560
211,Bazan-Hutsot,216,Hamovil,27.266,28.383,11,1.000,,,,28.380
211,Bazan-Hutsot,217,Nazareth,35.350,36.017,11,0.988,,,,36.020
211,Bazan-Hutsot,301,SavyoneyYam,58.589,69.467,36,0.968,58.589,69.467,25.000,69.470
