o,o_name,d,d_name,bus_ivt_observed_min,bus_ivt_scheduled_min,bus_trips_0609,bus_share_observed,brt_ivt_observed_min,brt_ivt_scheduled_min,brt_trips_0609,step29_scheduled_min
101,TsurShalom,102,Kiryon,3.607,4.983,221,0.938,3.607,4.983,59.000,4.980
101,TsurShalom,103,KiryatBialik Center,8.049,10.183,215,0.960,8.049,10.183,57.000,10.180
101,TsurShalom,104,KiryatHaim,10.587,12.983,177,0.963,9.302,12.983,56.000,12.980
101,TsurShalom,202,Matam-NeotPeres,34.253,42.933,43,0.989,34.253,42.933,43.000,42.930
101,TsurShalom,203,HofCarmel-NeveDavid,50.224,58.567,21,0.984,50.224,58.567,21.000,58.570
101,TsurShalom,204,Hecht-Shprintzak,48.722,56.983,21,0.983,48.722,56.983,21.000,56.980
101,TsurShalom,205,EinHayam,46.459,54.983,21,0.983,46.459,54.983,21.000,54.980
101,TsurShalom,206,BatGalim-KiryatEliezer,41.831,50.300,22,0.982,41.831,50.300,22.000,50.300
101,TsurShalom,207,Hamoshava,40.087,48.333,22,0.981,40.087,48.333,22.000,48.330
101,TsurShalom,208,LowerCity,34.235,43.983,23,0.979,34.235,43.983,23.000,43.980
101,TsurShalom,209,Namal-Giborim,33.819,38.983,53,0.987,33.819,38.983,53.000,38.980
101,TsurShalom,210,Hamifrats,21.840,30.983,143,0.979,21.767,30.983,80.000,30.980
101,TsurShalom,211,Bazan-Hutsot,17.730,22.633,179,0.977,16.268,22.633,85.000,22.630
101,TsurShalom,212,TsometKiryatAta,16.521,20.000,191,0.974,15.066,20.000,86.000,20.000
101,TsurShalom,213,KiryatAta North,43.723,44.067,18,0.979,,,,44.070
101,TsurShalom,214,KiryatAta North-East,42.012,38.000,7,0.933,,,,38.000
101,TsurShalom,215,Shefaram,17.012,15.600,3,0.846,,,,15.600
101,TsurShalom,216,Hamovil,20.164,17.550,1,0.953,,,,17.550
101,TsurShalom,217,Nazareth,27.004,22.800,1,0.969,,,,22.800
101,TsurShalom,301,SavyoneyYam,2.144,1.633,115,1.000,1.216,1.350,35.000,1.630
