TAZ,bus_stops_n,bus_lines_n,bus_lines,bus_dep_0609,bus_dep_0708,bus_headway_0708_min,bus_best_line_headway_0708_min,bus_direct_reach_taz_n,bus_direct_reach_30min_taz_n,bus_nearest_stop_m,bus_stops_per_km2,bus_LOS_frequency,bus_LOS_best_line,brt_stops_n,brt_lines_n,brt_lines,brt_dep_0609,brt_dep_0708,brt_headway_0708_min,brt_best_line_headway_0708_min,brt_direct_reach_taz_n,brt_direct_reach_30min_taz_n,brt_nearest_stop_m,brt_stops_per_km2,brt_LOS_frequency,brt_LOS_best_line,brt_access,brt_lines_named,AggCode_V2,AggAreaName_V2
1916,17,24,10430 10505 10836 11431 11434 11440 12490 13360 14038 14288 16123 17024 17026 17180 18030 18122 19028 19031 19033 21022 24036 24065 27071 33070,103,42,1.43,15.00,89,44,609.60,3.90,A,B,0,0,,0,0,,,0,0,22676.08,0.00,no service,no service,0,,217.00,Nazareth
1917,51,18,10335 11334 11431 11440 14038 16027 17024 17026 17180 18030 19028 19031 19033 21022 21352 24065 27071 33070,90,40,1.50,20.00,105,50,86.67,23.54,A,C,0,0,,0,0,,,0,0,22475.03,0.00,no service,no service,0,,217.00,Nazareth
1003,14,4,10306 13174 16058 69008,27,12,5.00,20.00,37,16,578.13,2.60,A,C,0,0,,0,0,,,0,0,14589.91,0.00,no service,no service,0,,,
1004,12,9,10306 10846 10968 12490 13174 13242 16058 26056 69008,38,14,4.29,30.00,66,36,424.19,2.82,A,D,0,0,,0,0,,,0,0,12324.87,0.00,no service,no service,0,,,
1907,43,2,11344 22013,26,11,5.45,12.00,24,15,64.04,13.98,A,B,0,0,,0,0,,,0,0,16768.80,0.00,no service,no service,0,,217.00,Nazareth
336,15,13,11313 11368 14322 16065 17067 17285 19302 21035 22058 26012 26052 30077 33054,65,25,2.40,15.00,48,33,424.56,4.29,A,B,0,0,,0,0,,,0,0,18594.71,0.00,no service,no service,0,,,
1904,12,14,10335 11431 16025 16027 17024 17026 18030 19028 19031 19033 21022 21352 24012 33070,56,22,2.73,15.00,42,32,280.09,1.60,A,B,0,0,,0,0,,,0,0,20201.08,0.00,no service,no service,0,,217.00,Nazareth
338,2,9,11368 16065 17036 17285 21035 22058 26012 26052 30077,26,7,8.57,20.00,30,24,970.21,0.65,A,C,0,0,,0,0,,,0,0,21630.62,0.00,no service,no service,0,,,
317,21,18,10361 10500 11056 12364 12503 16037 16149 16380 17061 17066 17067 18030 18147 20040 20152 21093 25014 25015,103,37,1.62,15.00,101,53,179.48,3.17,A,B,0,0,,0,0,,,0,0,25332.29,0.00,no service,no service,0,,,
1902,34,5,14288 16027 16123 18122 24036,15,4,15.00,60.00,32,14,733.40,2.12,B,E,0,0,,0,0,,,0,0,20769.34,0.00,no service,no service,0,,,
404,13,11,10265 11166 11308 15065 16095 17151 19094 20143 21093 66004 89002,46,21,2.86,30.00,84,58,252.47,3.26,A,D,0,0,,0,0,,,0,0,7731.55,0.00,no service,no service,0,,,
418,14,9,11166 11173 11308 15065 17151 20143 21093 66004 89002,45,16,3.75,30.00,72,40,172.78,31.47,A,D,0,0,,0,0,,,0,0,7250.67,0.00,no service,no service,0,,,
419,36,17,10260 10265 11166 11173 11299 11308 12490 15065 16095 16098 17096 17151 19094 20143 21093 66004 89002,67,31,1.94,20.00,112,69,831.62,4.71,A,C,0,0,,0,0,,,0,0,5631.02,0.00,no service,no service,0,,,
3002,18,14,10169 11068 11299 11365 13488 14288 15065 16060 17061 17180 17240 19028 27055 60007,77,32,1.88,15.00,115,24,375.44,4.75,A,B,0,0,,0,0,,,0,0,22276.80,0.00,no service,no service,0,,,
3011,7,1,60007,14,4,15.00,30.00,4,4,320.64,5.17,B,D,0,0,,0,0,,,0,0,20870.71,0.00,no service,no service,0,,,
3012,15,15,10169 11068 11299 11365 13488 14288 15065 16037 16060 17061 17180 17240 19028 27055 60007,78,27,2.22,20.00,116,23,126.99,6.82,A,C,0,0,,0,0,,,0,0,20588.97,0.00,no service,no service,0,,,
1905,5,5,17180 20020 26046 29088 45087,38,18,3.33,12.00,33,26,539.30,2.01,A,B,0,0,,0,0,,,0,0,24857.03,0.00,no service,no service,0,,217.00,Nazareth
2416,15,3,17053 19171 43015,22,8,7.50,30.00,18,17,120.34,20.88,A,D,0,0,,0,0,,,0,0,19776.53,0.00,no service,no service,0,,,
401,24,6,10169 10293 11068 11296 15109 17240,33,13,4.62,30.00,60,25,758.88,2.22,A,D,0,0,,0,0,,,0,0,12598.73,0.00,no service,no service,0,,,
1906,3,14,11334 16025 16027 17024 17026 18030 19028 19031 21022 21352 26034 28068 32074 34075,55,18,3.33,15.00,71,32,541.89,1.65,A,B,0,0,,0,0,,,0,0,21507.11,0.00,no service,no service,0,,217.00,Nazareth
318,31,19,10361 10500 10846 10980 11056 12364 12503 16037 16149 16380 17061 17066 18030 18147 20040 20152 21093 25014 25015,101,37,1.62,20.00,106,54,195.44,4.83,A,C,0,0,,0,0,,,0,0,27489.18,0.00,no service,no service,0,,,
2411,13,8,10202 10691 10692 10693 10694 10768 10921 11777,42,16,3.75,20.00,32,30,1054.31,0.27,A,C,0,0,,0,0,,,0,0,14305.70,0.00,no service,no service,0,,,
101,77,7,17027 18024 20028 23022 23036 25031 89001,32,15,4.00,12.00,14,13,390.67,4.28,A,B,0,0,,0,0,,,0,0,23824.29,0.00,no service,no service,0,,,
2213,15,14,10631 10826 10836 10845 10846 10960 10968 11184 13185 13297 14156 14157 16050 52019,83,30,2.00,15.00,80,47,414.77,3.03,A,B,0,0,,0,0,,,0,0,12601.53,0.00,no service,no service,0,,,
2105,47,22,10332 10335 10338 10348 10826 11331 11339 11358 11395 11431 12333 13426 14038 14352 17068 25012 34025 37009 50006 74015 80005 81004,199,82,0.73,8.57,103,50,77.02,50.01,A,A,0,0,,0,0,,,0,0,17207.54,0.00,no service,no service,0,,,
2110,32,10,10348 11358 11395 13426 34025 37009 50006 74015 80005 81004,98,39,1.54,10.00,21,18,81.74,43.39,A,A,0,0,,0,0,,,0,0,17485.38,0.00,no service,no service,0,,,
2108,18,17,10332 10335 10338 10348 10826 11331 11339 11358 11395 11431 12333 14038 14352 50006 74015 80005 81004,154,61,0.98,8.57,94,46,98.55,20.75,A,A,0,0,,0,0,,,0,0,18449.55,0.00,no service,no service,0,,,
2109,21,6,11358 13426 34025 50006 74015 80005,56,25,2.40,10.00,14,9,197.84,13.18,A,A,0,0,,0,0,,,0,0,18979.69,0.00,no service,no service,0,,,
2106,22,7,13426 34025 37009 50006 74015 80005 81004,86,35,1.71,12.00,14,13,227.49,20.96,A,B,0,0,,0,0,,,0,0,17532.21,0.00,no service,no service,0,,,
1106,17,22,10003 10008 10072 10091 10092 10093 10306 10430 10794 10998 12012 12773 13110 17095 20094 21029 21352 22090 24002 30001 35030 40074,75,39,1.54,10.00,79,35,317.37,4.77,A,A,0,0,,0,0,,,0,0,1962.55,0.00,no service,no service,0,,,
1104,34,18,10003 10008 10072 10091 10092 10093 10794 10996 10998 12012 13110 17095 20094 21029 22090 24002 30001 35030,56,29,2.07,10.00,47,23,316.23,15.22,A,A,0,0,,0,0,,,0,0,3771.00,0.00,no service,no service,0,,,
2102,81,10,10963 13242 13309 14310 15065 17068 19311 24067 25012 47014,60,24,2.50,10.00,47,31,694.30,6.33,A,A,0,0,,0,0,,,0,0,13035.29,0.00,no service,no service,0,,,
2220,27,3,15065 25012 47014,27,10,6.00,15.00,20,10,207.42,3.64,A,B,0,0,,0,0,,,0,0,8643.76,0.00,no service,no service,0,,,
1102,19,18,10306 10337 10342 10430 11167 11308 11334 11344 11434 12341 13309 15065 16353 17032 21352 26056 40074 66004,76,28,2.14,30.00,117,91,847.98,0.80,A,D,0,0,,0,0,,,0,0,6397.75,0.00,no service,no service,0,,215.00,Shefaram
1002,21,4,13171 13174 17096 26056,7,3,20.00,60.00,40,12,314.40,4.52,C,E,0,0,,0,0,,,0,0,10175.74,0.00,no service,no service,0,,216.00,Hamovil
315,23,12,10262 10263 10361 15039 16065 16380 17066 17067 19302 21057 21093 23292,71,24,2.50,15.00,57,43,211.22,6.56,A,B,0,0,,0,0,,,0,0,19430.68,0.00,no service,no service,0,,,
335,20,13,10262 10263 10361 10500 12503 15039 16380 17066 17067 19302 21057 21093 23292,103,39,1.54,15.00,85,58,337.02,4.24,A,B,0,0,,0,0,,,0,0,16098.53,0.00,no service,no service,0,,,
2005,40,21,10342 10356 10826 11440 11833 12341 12354 14038 17180 20016 24012 26034 26046 27005 27036 28068 32074 33039 34075 36002 45087,198,73,0.82,12.00,111,50,1740.45,4.22,A,B,0,0,,0,0,,,0,0,25605.03,0.00,no service,no service,0,,217.00,Nazareth
2002,21,37,10332 10335 10338 10342 10356 10826 10828 10955 11334 11431 12341 12354 14038 16025 16027 17024 17026 18030 19028 19031 19033 20020 21022 21352 22017 24012 26034 28068 29088 30003 32040 32074 33039 34075 36002 45087 46001,274,95,0.63,12.00,127,52,284.85,15.15,A,B,0,0,,0,0,,,0,0,21715.13,0.00,no service,no service,0,,217.00,Nazareth
2003,12,30,10332 10338 10342 10356 10826 10955 11431 11440 11833 12341 12354 14038 20016 20020 24012 26034 26046 27005 27036 29076 30003 30044 32040 32073 32074 33039 34075 36002 45087 46001,276,99,0.61,12.00,126,47,127.70,23.73,A,B,0,0,,0,0,,,0,0,22506.87,0.00,no service,no service,0,,217.00,Nazareth
2008,15,30,10332 10338 10342 10356 10826 10955 11431 11440 12341 12354 14038 20016 20020 24012 26034 26046 27005 27036 29076 29088 30003 30044 32040 32073 32074 33039 34075 36002 45087 46001,319,115,0.52,12.00,126,51,33.90,55.25,A,B,0,0,,0,0,,,0,0,22603.98,0.00,no service,no service,0,,217.00,Nazareth
2004,26,9,20016 26046 27005 27036 29076 30003 30044 32073 33039,110,40,1.50,12.00,23,22,1340.64,2.22,A,B,0,0,,0,0,,,0,0,24940.74,0.00,no service,no service,0,,217.00,Nazareth
2007,19,17,10356 10826 14038 20016 24012 26034 26046 27005 27036 29076 30003 30044 32073 32074 33039 36002 45087,184,67,0.90,12.00,60,37,27.05,39.51,A,B,0,0,,0,0,,,0,0,22482.04,0.00,no service,no service,0,,217.00,Nazareth
2011,26,33,10332 10338 10342 10356 10826 11308 11431 11440 11833 12341 12354 14038 16353 20016 21352 23045 24012 26034 27005 27036 29076 30003 30044 31052 32040 32073 32074 33039 36002 37056 42054 45087 56081,345,129,0.47,10.00,152,61,13.58,18.45,A,A,0,0,,0,0,,,0,0,22543.99,0.00,no service,no service,0,,217.00,Nazareth
2009,17,27,10332 10338 10342 10356 10826 10955 11431 11833 12341 14038 20016 24012 26034 26046 27005 27036 29076 30003 30044 32040 32073 32074 33039 34075 36002 37056 45087,284,103,0.58,12.00,118,49,82.20,33.73,A,B,0,0,,0,0,,,0,0,21993.54,0.00,no service,no service,0,,217.00,Nazareth
321,0,0,,0,0,,,0,0,903.50,0.00,no service,no service,0,0,,0,0,,,0,0,20741.47,0.00,no service,no service,0,,,
324,13,28,10260 10262 10263 10265 10846 10968 11368 13002 13003 13242 14004 14322 15090 16060 16065 17066 17285 18030 18041 18042 18098 19086 21057 21092 21094 23093 73005 78008,196,77,0.78,12.00,119,51,38.31,28.92,A,B,0,0,,0,0,,,0,0,20486.28,0.00,no service,no service,0,,,
326,39,63,400 405 407 409 440 442 443 444 445 447 10260 10262 10263 10265 10361 10500 10846 10968 10980 11056 11368 12364 12503 13002 13003 13242 14001 14004 15038 15039 15090 16037 16060 16065 16149 16380 17036 17061 17066 17067 17285 18030 18041 18042 18147 19084 19086 20040 20085 20152 21035 21057 21092 21093 21094 22058 25014 25015 26012 26052 30077 73005 78008,297,114,0.53,12.00,171,85,113.66,23.51,A,B,0,0,,0,0,,,0,0,19826.10,0.00,no service,no service,0,,,
327,9,25,10260 10262 10263 10265 10846 10968 11368 13002 13003 13242 14001 14004 15090 16060 16065 17066 17285 18030 18041 18042 18095 18097 18098 19086 21057,176,70,0.86,12.00,102,53,91.40,11.63,A,B,0,0,,0,0,,,0,0,19933.85,0.00,no service,no service,0,,,
328,9,7,13002 19084 19086 20085 21094 73005 78008,44,16,3.75,20.00,14,13,147.78,8.90,A,C,0,0,,0,0,,,0,0,19056.34,0.00,no service,no service,0,,,
331,7,27,10260 10262 10263 10265 10846 10968 11368 13002 13003 13242 14001 14004 14322 15090 16060 16065 17066 17285 18030 18041 18042 18095 18098 19084 21057 21094 78008,164,61,0.98,12.00,114,59,197.67,7.61,A,B,0,0,,0,0,,,0,0,18229.69,0.00,no service,no service,0,,,
332,12,10,10262 10263 11368 14004 15090 18042 18095 18098 20085 78008,65,25,2.40,15.00,39,31,57.18,12.98,A,B,0,0,,0,0,,,0,0,17802.36,0.00,no service,no service,0,,,
301,42,21,10361 10500 10846 10980 10982 11056 11365 11440 11991 12364 12503 15038 16037 16149 16380 17061 18030 18147 18148 20040 30077,75,29,2.07,20.00,100,49,228.72,1.17,A,C,0,0,,0,0,,,0,0,24604.54,0.00,no service,no service,0,,,
309,9,1,15039,3,1,60.00,60.00,7,7,153.71,1.88,E,E,0,0,,0,0,,,0,0,14887.78,0.00,no service,no service,0,,,
305,13,9,10260 10265 10846 10968 13242 16060 18041 18042 23292,35,15,4.00,30.00,60,42,754.05,1.06,A,D,0,0,,0,0,,,0,0,17512.09,0.00,no service,no service,0,,,
236,5,20,10048 10262 10263 10361 10500 11061 11064 11068 11564 12503 13311 15109 16095 16380 17282 19035 19302 20143 21148 25284,89,30,2.00,20.00,44,39,516.98,1.17,A,C,0,0,,0,0,,,0,0,9182.01,0.00,no service,no service,0,,,
1001,5,6,10846 10968 12490 13242 16058 26056,18,7,8.57,30.00,42,24,955.98,0.61,A,D,0,0,,0,0,,,0,0,9662.44,0.00,no service,no service,0,,,
2404,16,8,10045 10046 10047 10049 13091 13110 19148 37044,109,43,1.40,12.00,51,33,108.40,45.55,A,B,0,0,,0,0,,,0,0,3081.96,0.00,no service,no service,0,,201.00,TiratCarmel
2405,9,7,10045 10047 10049 13091 13110 19148 37044,104,41,1.46,12.00,53,34,96.42,38.20,A,B,0,0,,0,0,,,0,0,3233.05,0.00,no service,no service,0,,201.00,TiratCarmel
2406,10,7,10045 10047 10049 13091 13110 19148 37044,105,42,1.43,10.00,53,33,156.90,15.54,A,A,0,0,,0,0,,,0,0,3752.81,0.00,no service,no service,0,,201.00,TiratCarmel
2407,15,7,10045 10047 10049 13091 13110 19148 37044,108,43,1.40,10.00,53,29,111.53,16.41,A,A,0,0,,0,0,,,0,0,4475.42,0.00,no service,no service,0,,201.00,TiratCarmel
2204,10,11,13407 17068 20009 20074 21075 22090 26085 28011 29087 31082 33080,44,20,3.00,20.00,16,13,253.98,5.95,A,C,0,0,,0,0,,,0,0,6171.30,0.00,no service,no service,0,,,
2205,40,27,10332 10335 10338 10432 10505 10826 11331 11336 11339 11358 12301 12333 13360 13407 17068 20009 20074 21075 22090 23013 24021 24086 26085 28011 29087 31082 33080,168,70,0.86,10.00,90,64,163.94,18.69,A,A,0,0,,0,0,,,0,0,6662.71,0.00,no service,no service,0,,,
2206,60,11,10335 10432 13407 20009 21075 23013 24021 24086 29087 31082 33080,41,22,2.73,20.00,12,11,293.89,23.79,A,C,0,0,,0,0,,,0,0,6117.38,0.00,no service,no service,0,,,
1803,12,19,10007 10070 10072 10076 10077 10078 10146 10293 10332 11299 11331 11339 12181 12333 13110 15296 30027 40074 52005,162,70,0.86,6.00,101,72,44.56,40.29,A,A,2,1,52005,21,10,6.00,6.00,15,15,154.13,6.72,A,A,1,Metronit 5 (orange),,
1804,19,6,10070 10071 10076 10077 10078 10146,54,20,3.00,15.00,24,22,20.68,46.48,A,B,0,0,,0,0,,,0,0,442.82,0.00,no service,no service,0,,,
1806,20,6,10070 10071 10077 10078 10146 13112,78,31,1.94,12.00,42,35,108.14,55.01,A,B,0,0,,0,0,,,0,0,588.63,0.00,no service,no service,0,,,
1817,19,4,10070 10077 10078 13112,58,24,2.50,12.00,38,30,44.89,66.63,A,B,0,0,,0,0,,,0,0,606.34,0.00,no service,no service,0,,,
1805,51,16,10071 10076 10077 10078 10146 10293 10337 10796 11173 11299 11334 11774 12333 13112 13174 15296,112,52,1.15,8.57,51,37,116.09,32.36,A,A,0,0,,0,0,,,0,0,1324.92,0.00,no service,no service,0,,,
801,1,4,10080 10098 16097 19099,5,0,,,0,0,166.60,4.64,no service,no service,0,0,,0,0,,,0,0,193.23,0.00,no service,no service,0,,303.00,KiryatYam B+C
802,9,30,12 20 22 23 25 27 100 102 103 105 107 152 153 154 155 157 400 403 405 407 440 442 443 444 445 447 10080 10098 16097 28023,59,20,3.00,10.00,38,33,83.04,16.61,A,A,0,0,,0,0,,,0,0,336.67,0.00,no service,no service,0,,303.00,KiryatYam B+C
804,21,29,12 100 102 103 105 107 152 153 154 155 157 400 440 442 443 444 445 447 10013 10080 10098 11008 11093 14137 16097 25026 28023 40015 67003,181,72,0.83,2.61,85,71,56.17,24.93,A,A,6,1,67003,41,23,2.61,2.61,23,17,111.85,7.12,A,A,1,Metronit 3 (green),304.00,KiryatHaim West
803,23,5,10013 11093 14137 25026 40015,89,33,1.82,10.00,60,47,72.00,29.10,A,A,0,0,,0,0,,,0,0,745.16,0.00,no service,no service,0,,,
807,7,2,10013 25026,53,19,3.16,12.00,31,31,73.62,24.33,A,B,0,0,,0,0,,,0,0,643.46,0.00,no service,no service,0,,304.00,KiryatHaim West
805,0,0,,0,0,,,0,0,316.93,0.00,no service,no service,0,0,,0,0,,,0,0,736.42,0.00,no service,no service,0,,,
806,1,21,10251 10262 10265 10271 10272 10342 10361 10500 11167 11170 11344 11434 12503 13171 16380 17145 17282 25284 27024 30022 40052,104,37,1.62,12.00,142,72,348.25,2.16,A,B,0,0,,0,0,,,0,0,400.46,0.00,no service,no service,0,,104.00,KiryatHaim
1311,10,18,10006 10017 10040 10083 10123 10332 11080 11096 11236 11331 12080 12081 14217 19148 25041 52082 67002 83001,249,99,0.61,6.00,143,115,71.15,39.32,A,A,4,2,67002 83001,106,40,1.50,6.00,29,25,71.15,15.73,A,A,1,Metronit 2 (blue); Metronit 1 (red),209.00,Namal-Giborim
1305,2,1,10006,3,1,60.00,60.00,7,7,167.24,17.13,E,E,0,0,,0,0,,,0,0,329.55,0.00,no service,no service,0,,,
1302,13,24,10016 10017 10018 10021 10024 10028 10034 10036 10037 10783 10793 10797 10798 11003 11012 11136 11236 11331 11791 12793 13112 35058 67002 83001,403,159,0.38,5.45,140,98,113.53,55.77,A,A,4,2,67002 83001,106,40,1.50,5.45,30,20,113.53,17.16,A,A,1,Metronit 2 (blue); Metronit 1 (red),207.00,Hamoshava
1504,1,2,11236 11331,10,3,20.00,30.00,1,1,167.90,5.48,C,D,0,0,,0,0,,,0,0,278.42,0.00,no service,no service,0,,206.00,BatGalim-KiryatEliezer
1506,14,23,10016 10017 10018 10021 10024 10028 10036 10037 10040 10042 10043 10099 10797 11003 11012 11136 11331 11792 11799 12224 12793 67002 83001,401,153,0.39,6.00,149,96,47.66,54.77,A,A,2,2,67002 83001,107,39,1.54,6.00,30,19,170.39,7.82,A,A,1,Metronit 2 (blue); Metronit 1 (red),206.00,BatGalim-KiryatEliezer
1509,15,10,10017 10024 10031 10043 11003 13110 13112 19148 25051 83001,150,55,1.09,6.00,113,79,50.95,41.37,A,A,1,1,83001,29,10,6.00,6.00,20,13,531.26,2.76,A,A,1,Metronit 1 (red),,
1510,10,10,10017 10024 10031 10043 11003 13110 13112 19148 25051 83001,241,90,0.67,6.00,128,96,43.59,21.29,A,A,5,1,83001,54,20,3.00,6.00,25,18,118.90,10.65,A,A,1,Metronit 1 (red),205.00,EinHayam
1511,10,7,10025 10030 10031 10032 10115 11003 25051,141,54,1.11,8.57,60,55,207.99,27.61,A,A,0,0,,0,0,,,0,0,398.53,0.00,no service,no service,0,,204.00,Hecht-Shprintzak
1513,18,7,10025 10030 10031 10115 11003 12088 25051,142,61,0.98,6.67,62,58,82.67,39.93,A,A,0,0,,0,0,,,0,0,800.92,0.00,no service,no service,0,,204.00,Hecht-Shprintzak
1512,17,11,10017 10024 10025 10030 10043 10115 13110 13112 19148 25051 83001,271,99,0.61,6.00,131,90,37.17,27.57,A,A,2,1,83001,54,20,3.00,6.00,25,18,385.65,3.24,A,A,1,Metronit 1 (red),204.00,Hecht-Shprintzak
1514,24,13,10017 10024 10030 10043 10115 11003 11792 11799 12088 13110 13112 19148 83001,263,97,0.62,6.00,127,85,93.03,37.81,A,A,2,1,83001,54,20,3.00,6.00,25,17,474.71,3.15,A,A,1,Metronit 1 (red),203.00,HofCarmel-NeveDavid
1610,15,2,10033 10034,23,8,7.50,15.00,14,14,65.69,19.16,A,B,0,0,,0,0,,,0,0,1247.93,0.00,no service,no service,0,,,
1611,13,17,10028 10031 10033 10037 10082 10131 10132 10133 10795 11012 11136 11791 12092 12093 13090 25051 35058,193,79,0.76,6.67,84,83,167.03,20.68,A,A,0,0,,0,0,,,0,0,1803.16,0.00,no service,no service,0,,,
1612,5,5,10089 11080 12081 12092 25051,27,13,4.62,12.00,19,19,139.22,12.57,A,B,0,0,,0,0,,,0,0,1368.50,0.00,no service,no service,0,,,
1613,6,4,10010 10089 12092 25051,26,11,5.45,15.00,27,24,40.28,17.71,A,B,0,0,,0,0,,,0,0,1064.78,0.00,no service,no service,0,,,
1632,7,7,10030 10033 10076 10098 11003 11012 12088,68,25,2.40,12.00,60,54,112.15,38.60,A,B,0,0,,0,0,,,0,0,754.07,0.00,no service,no service,0,,,
1608,17,26,10028 10030 10031 10032 10033 10034 10037 10082 10089 10099 10131 10132 10133 10795 11003 11012 11080 11136 11791 12081 12088 12093 13090 25051 35058 93001,292,121,0.50,6.67,101,93,87.66,44.29,A,A,0,0,,0,0,,,0,0,1188.92,0.00,no service,no service,0,,,
1630,12,21,10028 10031 10033 10034 10037 10082 10089 10131 10132 10133 10795 11012 11080 11136 11791 12081 12088 12093 13090 25051 35058,222,97,0.62,6.00,91,84,71.17,41.22,A,A,0,0,,0,0,,,0,0,1666.90,0.00,no service,no service,0,,,
1607,32,4,10034 11003 12088 25051,63,24,2.50,12.00,46,45,131.17,29.88,A,B,0,0,,0,0,,,0,0,1451.77,0.00,no service,no service,0,,,
1605,8,3,11003 12088 25051,50,19,3.16,12.00,39,39,119.69,15.34,A,B,0,0,,0,0,,,0,0,1672.71,0.00,no service,no service,0,,,
1604,11,4,10030 11003 12088 25051,67,28,2.14,6.67,43,42,102.83,19.74,A,A,0,0,,0,0,,,0,0,1216.78,0.00,no service,no service,0,,,
1602,20,11,10006 10025 10030 10031 10032 10034 10099 10115 10795 12093 35058,115,50,1.20,8.57,59,53,153.29,40.82,A,A,0,0,,0,0,,,0,0,855.44,0.00,no service,no service,0,,,
1404,10,8,10006 10034 10040 10042 10099 13110 19148 35058,77,31,1.94,15.00,81,71,87.80,46.92,A,B,0,0,,0,0,,,0,0,607.12,0.00,no service,no service,0,,,
1406,5,5,10016 10024 10028 10037 25041,50,20,3.00,10.00,26,26,29.37,44.03,A,A,0,0,,0,0,,,0,0,388.59,0.00,no service,no service,0,,,
1414,12,18,10010 10016 10024 10076 10083 10098 10131 10132 10133 10970 10972 11003 11012 11081 11088 12080 12224 52082,147,56,1.07,12.00,86,82,24.50,54.91,A,B,0,0,,0,0,,,0,0,527.86,0.00,no service,no service,0,,,
1418,13,14,10010 10016 10024 10076 10083 10098 10970 10972 11003 11081 11088 12090 12224 52082,96,36,1.67,12.00,71,67,53.70,71.12,A,B,0,0,,0,0,,,0,0,490.62,0.00,no service,no service,0,,,
1411,8,28,10010 10016 10018 10024 10025 10028 10036 10037 10040 10042 10083 10115 10131 10132 10133 10970 10972 11003 11012 11088 12080 12224 13110 13112 19148 25041 52005 67003,277,104,0.58,5.45,109,95,146.59,43.48,A,A,2,2,52005 67003,49,17,3.53,5.45,30,19,187.27,10.87,A,A,1,Metronit 5 (orange); Metronit 3 (green),,
1402,8,18,10006 10025 10028 10037 10040 10042 10115 10793 10797 10798 11012 12793 13110 19148 25041 52005 67003 93001,271,106,0.57,5.00,124,99,52.85,85.22,A,A,1,2,52005 67003,50,18,3.33,5.00,28,19,205.05,10.65,A,A,1,Metronit 5 (orange); Metronit 3 (green),,
1416,5,22,10006 10010 10016 10018 10019 10024 10025 10036 10040 10042 10115 10793 11003 11013 12224 12793 13110 13112 19148 25041 52005 67003,279,106,0.57,5.45,127,116,58.00,51.48,A,A,1,2,52005 67003,49,17,3.53,5.45,27,18,73.09,10.30,A,A,1,Metronit 5 (orange); Metronit 3 (green),,
1408,6,17,10006 10010 10018 10019 10025 10036 10040 10042 10115 11003 11013 13110 13112 19148 25041 52005 67003,185,71,0.85,5.45,99,90,34.63,48.07,A,A,2,2,52005 67003,50,17,3.53,5.45,26,18,181.57,16.02,A,A,1,Metronit 5 (orange); Metronit 3 (green),,
1410,6,24,10006 10010 10018 10019 10025 10036 10040 10042 10083 10098 10115 10131 10132 10133 11003 11013 12080 13110 13112 16097 19148 25041 52005 67003,322,122,0.49,5.00,133,124,57.22,55.35,A,A,2,2,52005 67003,51,18,3.33,5.00,30,22,87.48,18.45,A,A,1,Metronit 5 (orange); Metronit 3 (green),,
1415,5,11,10010 10098 10132 10133 10794 10970 10972 11003 11012 11088 16097,43,17,3.53,15.00,38,37,110.10,36.29,A,B,0,0,,0,0,,,0,0,189.60,0.00,no service,no service,0,,,
1405,4,5,10010 10089 10970 10972 12092,9,4,15.00,60.00,19,16,134.91,9.71,B,E,0,0,,0,0,,,0,0,769.50,0.00,no service,no service,0,,,
1701,2,1,11013,5,2,30.00,30.00,11,11,76.47,39.34,D,D,0,0,,0,0,,,0,0,226.29,0.00,no service,no service,0,,,
1702,5,9,10017 10018 10019 10036 10123 11013 11080 11096 12081,142,60,1.00,6.00,71,67,19.70,78.75,A,A,0,0,,0,0,,,0,0,207.90,0.00,no service,no service,0,,,
1703,5,9,10040 10042 10098 11080 11096 12081 13112 16097 17032,56,22,2.73,12.00,68,64,62.12,59.71,A,B,0,0,,0,0,,,0,0,276.59,0.00,no service,no service,0,,,
1705,12,11,10017 10018 10019 10020 10036 10038 10123 11013 11080 11096 12081,161,65,0.92,6.67,74,73,64.26,65.97,A,A,0,0,,0,0,,,0,0,659.69,0.00,no service,no service,0,,,
1731,0,0,,0,0,,,0,0,207.50,0.00,no service,no service,0,0,,0,0,,,0,0,305.06,0.00,no service,no service,0,,,
1714,5,4,10020 10038 43086 52082,25,11,5.45,10.00,31,30,39.18,36.69,A,A,0,0,,0,0,,,0,0,535.85,0.00,no service,no service,0,,,
1713,2,10,10017 10018 10019 10028 10036 10038 10123 11088 12080 12090,96,39,1.54,6.00,54,49,82.27,33.93,A,A,0,0,,0,0,,,0,0,863.55,0.00,no service,no service,0,,,
1706,5,13,10017 10018 10019 10028 10036 10038 10123 10783 11080 11088 11096 12080 12090,129,52,1.15,6.67,76,69,96.18,69.66,A,A,0,0,,0,0,,,0,0,664.37,0.00,no service,no service,0,,,
1707,5,13,10017 10018 10019 10028 10036 10038 10123 10783 11080 11088 11096 12080 12090,169,67,0.90,6.67,85,79,89.96,43.69,A,A,0,0,,0,0,,,0,0,554.84,0.00,no service,no service,0,,,
1708,10,5,10020 10028 10036 10038 12081,55,23,2.61,10.00,62,56,27.59,90.97,A,A,0,0,,0,0,,,0,0,408.92,0.00,no service,no service,0,,,
1712,8,27,10017 10018 10019 10031 10036 10038 10076 10077 10142 10293 10337 10796 11173 11294 11299 11334 11774 12011 12333 13174 14217 15144 15296 16050 17145 21055 80001,188,82,0.73,7.50,116,97,105.69,38.37,A,A,0,0,,0,0,,,0,0,1163.66,0.00,no service,no service,0,,,
