TAZ,bus_stops_n,bus_lines_n,bus_lines,bus_dep_0609,bus_dep_0708,bus_headway_0708_min,bus_best_line_headway_0708_min,bus_direct_reach_taz_n,bus_direct_reach_30min_taz_n,bus_nearest_stop_m,bus_stops_per_km2,bus_LOS_frequency,bus_LOS_best_line,brt_stops_n,brt_lines_n,brt_lines,brt_dep_0609,brt_dep_0708,brt_headway_0708_min,brt_best_line_headway_0708_min,brt_direct_reach_taz_n,brt_direct_reach_30min_taz_n,brt_nearest_stop_m,brt_stops_per_km2,brt_LOS_frequency,brt_LOS_best_line,brt_access,brt_lines_named,AggCode_V2,AggAreaName_V2
3503,17,20,10500 10505 10537 10542 10845 10963 10981 10982 10984 11056 11437 11440 11991 12503 13360 16149 18148 21054 27055 35051,66,23,2.61,30.00,78,41,568.28,0.54,A,D,0,0,,0,0,,,0,0,32866.65,0.00,no service,no service,0,,,
3421,54,16,11313 11368 14322 17285 18076 19035 22070 22075 23049 25092 26012 26053 29074 30077 33082 37004,52,26,2.31,20.00,46,34,109.12,11.07,A,C,0,0,,0,0,,,0,0,22194.33,0.00,no service,no service,0,,,
3425,7,5,11313 11368 14322 17285 26012,19,7,8.57,30.00,31,28,115.15,2.49,A,D,0,0,,0,0,,,0,0,21647.10,0.00,no service,no service,0,,,
4003,7,25,10634 10708 10730 10821 10825 10843 10852 10942 11026 11632 11799 11833 12729 14163 17046 17064 17065 19032 19063 20049 21070 25021 25060 25061 26029,158,64,0.94,15.00,67,47,903.43,0.54,A,B,0,0,,0,0,,,0,0,35737.98,0.00,no service,no service,0,,,
4022,28,3,10981 11992 17065,9,4,15.00,30.00,9,1,785.51,1.51,B,D,0,0,,0,0,,,0,0,38598.51,0.00,no service,no service,0,,,
3805,25,21,11247 12248 13241 13246 13299 14298 15133 15296 17046 19038 19045 21039 24044 24062 28027 30025 38028 56006 58004 68003 88002,199,79,0.76,6.00,61,43,121.73,28.94,A,A,0,0,,0,0,,,0,0,25806.30,0.00,no service,no service,0,,,
3109,17,23,10843 10966 18151 19079 20057 20060 22051 22071 24076 25019 26074 28111 30078 30088 31017 33016 35084 38083 38085 38090 40012 41089 61080,34,17,3.53,60.00,35,12,1057.86,0.19,A,E,0,0,,0,0,,,0,0,59639.83,0.00,no service,no service,0,,,
3111,33,21,10843 10966 18151 19079 20057 20060 22051 22071 24024 24063 25019 25077 26072 28111 30078 33016 35084 38085 40012 47018 61080,31,18,3.33,60.00,36,11,1871.02,0.31,A,E,0,0,,0,0,,,0,0,54971.47,0.00,no service,no service,0,,,
3105,38,13,11258 12558 21058 22054 22059 27095 29092 29094 31037 31086 34013 39087 40097,16,12,5.00,60.00,23,13,494.37,0.14,A,E,0,0,,0,0,,,0,0,66764.22,0.00,no service,no service,0,,,
3102,7,6,12358 21058 26068 27095 31037 40097,10,5,12.00,60.00,12,10,1057.89,0.21,B,E,0,0,,0,0,,,0,0,70370.27,0.00,no service,no service,0,,,
3522,7,15,10430 10442 10836 10969 19037 19039 21044 22033 27009 30007 38011 39005 45025 65001 78015,117,43,1.40,8.57,46,32,252.53,11.90,A,A,0,0,,0,0,,,0,0,36366.07,0.00,no service,no service,0,,,
3318,4,1,35004,16,6,10.00,15.00,9,4,547.70,1.77,A,B,0,0,,0,0,,,0,0,40152.30,0.00,no service,no service,0,,,
3320,2,1,21009,6,2,30.00,60.00,4,4,553.71,0.40,D,E,0,0,,0,0,,,0,0,38386.38,0.00,no service,no service,0,,,
3914,21,8,10826 10836 10845 10910 10947 19076 22009 53080,39,14,4.29,20.00,11,11,260.53,4.46,A,C,0,0,,0,0,,,0,0,32592.63,0.00,no service,no service,0,,,
