TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
101,1,False,8850.8255,16031.0000,6613.0000,6982.0000,5267.5973,8941.3464,7673.0590,9879.5795,2536.4362,4305.4078,own rate (multiplicative),2355.9009,2893.9925,own rate (multiplicative),573.3256,973.1766,381.8968,486.1165,113.0920,191.9651,0.0000,0.0000
102,1,False,2424.7991,3385.0000,1482.6498,1854.0000,1403.6346,1933.5677,1837.4578,2391.5298,1497.5887,2062.9936,own rate (multiplicative),2045.3764,2539.8152,own rate (multiplicative),0.1400,0.1928,2.1888,2.8164,0.0000,0.0000,0.0000,0.0000
103,1,False,0.0000,5987.0000,0.0000,842.0000,0.0000,3127.3845,0.0000,2269.6142,157.7568,3189.6445,superzone rate on the increment,2236.0645,3929.1241,superzone rate on the increment,5.2433,206.5949,2.7420,118.2069,0.0000,39.2114,0.0000,34.3155
104,1,False,3052.5857,5791.0000,198.3560,470.0000,1566.8390,2983.6648,971.4446,1918.2756,1256.7967,2393.2645,own rate (multiplicative),425.5504,801.7047,own rate (multiplicative),242.8293,462.4095,68.8721,134.4499,61.1835,116.5091,0.0000,0.0000
106,1,False,8069.2356,8895.0000,12765.7229,18722.0000,5610.9220,6743.1628,12413.9539,17424.3542,6408.2954,7701.4400,own rate (multiplicative),10652.9153,14265.4506,own rate (multiplicative),247.6745,297.6533,1127.7069,1564.8303,0.0000,0.0000,211.5506,292.4619
107,1,False,5755.3981,7934.0000,2550.1841,3680.0000,3215.3175,4452.1587,3581.9462,5070.1301,3723.9908,5156.5041,own rate (multiplicative),2978.3687,4022.0638,own rate (multiplicative),118.9499,164.7065,109.8147,153.6685,0.0000,0.0000,0.0000,0.0000
108,1,False,3457.3034,6551.0000,3240.3987,5116.0000,2136.5017,3925.4126,3525.8727,5857.2985,3046.4961,5597.3531,own rate (multiplicative),2632.9284,4172.9216,own rate (multiplicative),48.4349,88.9899,188.1523,309.0044,0.0000,0.0000,104.8532,171.5619
109,1,False,3995.2704,4597.0000,3049.0000,3164.0000,2385.4652,2703.4314,3515.0105,3767.5509,560.9587,635.7307,own rate (multiplicative),961.7629,983.4923,own rate (multiplicative),1.5826,1.7935,7.7236,8.1842,0.0000,0.0000,0.0000,0.0000
110,1,False,6329.2070,14578.0000,1505.6690,4172.0000,3380.0135,7869.6417,2894.4358,7232.9748,599.3047,1395.3534,own rate (multiplicative),627.2696,1495.4701,own rate (multiplicative),0.8108,1.8877,2.7775,6.8617,0.0000,0.0000,0.0000,0.0000
111,1,False,6058.6920,12022.0000,1620.3119,3731.0000,3257.0311,6524.6985,2914.6963,6198.4440,3023.2277,6056.3282,own rate (multiplicative),2843.0984,5768.3514,own rate (multiplicative),249.5425,499.8999,154.5220,324.8659,107.3159,214.9823,0.0000,0.0000
112,1,False,4921.7674,26258.0000,1287.3477,8473.0000,2642.3737,14289.8720,2344.4955,13798.9205,2029.8919,13321.7263,superzone rate on the increment,3026.6340,11950.7579,superzone rate on the increment,384.9968,1134.9020,448.7271,1026.5083,98.8193,244.8568,0.0000,173.1853
113,1,False,0.0000,3509.0000,2973.0000,3214.0000,356.7983,2159.4653,2391.2520,3518.3895,359.6533,2107.2747,superzone rate on the increment,1527.2457,2143.8675,own rate (multiplicative),4.4034,120.4652,120.5692,175.3798,0.0000,22.6020,480.7618,696.7179
114,1,False,1799.6053,10266.0000,54.5242,4847.0000,916.2155,5771.0028,522.4997,6629.0216,740.7084,5447.2516,superzone rate on the increment,122.6585,4948.7481,superzone rate on the increment,140.3323,452.8999,31.8740,342.2596,36.0593,96.9291,0.0000,92.3276
115,1,False,9554.2308,11083.0000,2653.5035,3723.0000,5147.9669,6049.0888,4675.4315,5942.2617,4761.5048,5594.9788,own rate (multiplicative),4678.9861,5673.5161,own rate (multiplicative),386.3811,454.0149,249.8606,313.9441,169.0201,198.6061,0.0000,0.0000
116,1,False,6158.1347,7296.0000,1657.8456,2988.0000,3311.8023,4046.6109,2971.3346,4343.8485,5182.7228,6332.6432,own rate (multiplicative),3427.5879,4780.5973,own rate (multiplicative),210.9350,257.7363,28.2212,40.7871,0.0000,0.0000,29.7991,42.9077
117,1,False,7509.7524,7783.0000,3505.8764,4396.0000,4216.8112,4461.7598,4817.2405,5605.8635,6319.9546,6687.0719,own rate (multiplicative),7175.1753,7966.1258,own rate (multiplicative),265.1997,280.6048,65.1627,74.9666,0.0000,0.0000,62.3801,71.4988
118,1,False,3642.8793,3870.0000,334.8188,473.0000,1881.6003,2012.9898,1238.2063,1409.7563,3065.6828,3279.7550,own rate (multiplicative),623.9173,677.7173,own rate (multiplicative),125.7212,134.5001,9.5436,10.7420,0.0000,0.0000,5.4243,6.0828
201,2,False,1885.3223,3093.0000,1246.7635,2053.0000,1102.6282,1809.8489,1504.2434,2473.9263,811.4103,1331.8451,own rate (multiplicative),824.0819,1293.0327,own rate (multiplicative),0.7292,1.1969,99.2855,161.4280,0.0000,0.0000,0.0000,0.0000
202,2,False,2198.0935,2338.0000,885.7950,1210.0000,1217.4082,1327.0375,1297.0965,1595.0732,1750.2006,1907.8086,own rate (multiplicative),545.5571,640.0575,own rate (multiplicative),142.8516,155.7156,289.8707,352.4009,128.2762,139.8276,0.0000,0.0000
203,2,False,2905.4436,3440.0000,631.1747,3356.0000,1544.4048,2141.6287,1280.4349,3614.2513,1035.1210,1435.4040,own rate (multiplicative),395.2060,1064.2774,own rate (multiplicative),403.9646,560.1784,31.6676,88.3690,0.0000,0.0000,0.0000,0.0000
204,2,False,1356.5605,3013.0000,1751.2752,5863.0000,895.8954,2226.6593,1769.3978,5517.1188,563.3509,1400.1528,own rate (multiplicative),3849.8894,7190.4840,superzone rate on the increment,0.8333,2.0712,227.7541,392.8527,0.0000,0.0000,0.0000,11.5757
205,2,False,1741.2421,3481.0000,837.1304,1704.0000,980.6367,1964.0923,1136.4448,2296.4147,714.9702,1431.9957,own rate (multiplicative),362.9413,699.6951,own rate (multiplicative),1.1354,2.2741,328.0342,655.3081,0.0000,0.0000,0.0000,0.0000
